COLLECTION_SYSTEM,collection_sys_description,MasterStationID,MasterStationName,CollectionStationName,COMMENTS,SiteType,ANALOG_CHANNEL,STATION_ID,SYSTEM_NAME,DatasetType,MEASURING_DEVICE,DEVICE_TYPE,STATUS,LAT,LON,DataEntryMethod,Telemetry,StationPage,NoOfYears,StartYr,EndYr
WEBER               ,Weber River Dataloggers,250,BOULDERVILLE DITCHES                                                            ,Boulderville                            ,                                                                                                                                                                                                        ,Conveyance,1,250,WEBER RIVER                                                 ,Observational,5-FT CONCRETE PARSHALL FLUME        ,NULL,A,40.72310155,-111.2628703,Direct,Yes,https://waterrights.utah.gov/cgi-bin/dvrtview.exe?Modinfo=StationView&STATION_ID=250,77,1948,2025
WEBER               ,Weber River Dataloggers,251,PEOA SOUTH BENCH CANAL                                                          ,Peoa-South                              ,                                                                                                                                                                                                        ,Conveyance,1,251,WEBER RIVER                                                 ,Observational,5 FOOT CONCRETE PARSHALL FLUME      ,NULL,A,40.72067399,-111.2681748,Direct,Yes,https://waterrights.utah.gov/cgi-bin/dvrtview.exe?Modinfo=StationView&STATION_ID=251,67,1957,2024
WEBER_BASIN         ,Weber Basin Scada,268,EAST WANSHIP DITCH                                                              ,East Wanship 16 Flow                    ,                                                                                                                                                                                                        ,Conveyance,1,268,WEBER RIVER                                                 ,Observational,SPARLING METER                      ,NULL,A,40.79047134,-111.4039723,Scrape,Yes,https://waterrights.utah.gov/cgi-bin/dvrtview.exe?Modinfo=StationView&STATION_ID=268,44,1948,2025
WEBER_BASIN         ,Weber Basin Scada,270,WEST WANSHIP DITCH                                                              ,Wanship West Wanship 14  Flow Meter     ,                                                                                                                                                                                                        ,Conveyance,1,270,WEBER RIVER                                                 ,Observational,SPARLING METER                      ,NULL,A,40.79042579,-111.4041335,Scrape,Yes,https://waterrights.utah.gov/cgi-bin/dvrtview.exe?Modinfo=StationView&STATION_ID=270,48,1948,2025
WEBER               ,Weber River Dataloggers,368,EAST PORTERVILLE CANAL                                                          ,East Porterville                        ,East Porterville Canal                                                                                                                                                                                  ,Conveyance,1,368,WEBER RIVER                                                 ,Observational,4 FOOT PARSHALL FLUME               ,NULL,A,40.95265186,-111.6580837,Direct,Yes,https://waterrights.utah.gov/cgi-bin/dvrtview.exe?Modinfo=StationView&STATION_ID=368,77,1948,2025
WEBER               ,Weber River Dataloggers,434,HOOPER CANAL                                                                    ,Hooper Canal                            ,Hooper Canal Diversion from the Willard Canal                                                                                                                                                           ,Conveyance,1,434,WEBER RIVER                                                 ,Observational,10 FOOT PARSHALL FLUME              ,NULL,A,41.2301135,-112.017108,Direct,Yes,https://waterrights.utah.gov/cgi-bin/dvrtview.exe?Modinfo=StationView&STATION_ID=434,77,1948,2025
SEVIER              ,Sevier River,472,WEST HATCH DITCH                                                                ,9149,West Hatch Ditch                                                                                                                                                                                        ,Conveyance,1,472,SEVIER RIVER                                                ,Observational,3 foot Parshall Flume               ,NULL,A,37.62718634,-112.4876025,Scrape,Yes,https://waterrights.utah.gov/cgi-bin/dvrtview.exe?Modinfo=StationView&STATION_ID=472,74,1951,2025
CU_SCADA            ,CUWCD Scada,481,380 STARVATION RESERVOIR STORAGE CONTENTS                                       ,SD_CALC_RES_CONTENT                     ,Starvation Reservoir Content - Acre-Feet                                                                                                                                                                ,Reservoir,2,481,DUCHESNE RIVER                                              ,Observational,Gage                                ,DIGITAL     ,A,40.19313596,-110.4447086,Scrape,Yes,https://waterrights.utah.gov/cgi-bin/dvrtview.exe?Modinfo=StationView&STATION_ID=481,33,1992,2025
SEVIER              ,Sevier River,492,EAST HATCH DITCH                                                                ,9128,East Hatch Ditch                                                                                                                                                                                        ,Conveyance,1,492,SEVIER RIVER                                                ,Observational,2 foot Parshall Flume               ,NULL,A,37.63550715,-112.4329586,Scrape,Yes,https://waterrights.utah.gov/cgi-bin/dvrtview.exe?Modinfo=StationView&STATION_ID=492,74,1951,2025
CU_SCADA            ,CUWCD Scada,494,CUWCD MIDWAY UPPER DAM (OVERFLOW OR BY-PASS)                                    ,SCADA.UMFLOW.F_CV                       ,Upper Midway - SCADA River Gauge                                                                                                                                                                        ,Stream,1,494,PROVO RIVER                                                 ,Observational,                                    ,DIGITAL     ,A,40.55412404,-111.4331922,Scrape,Yes,https://waterrights.utah.gov/cgi-bin/dvrtview.exe?Modinfo=StationView&STATION_ID=494,71,1950,2025
USBR                ,USBR,500,USBR WANSHIP RESERVOIR                                                          ,ROCKPORT RES|storage                    ,from ftp.usbr.gov/UC_Outgoing_Cron/ nwsdata.dat `ROCKPORT RESERVOIR`|`storage` at 8:30AM                                                                                                                ,Reservoir,1,500,WEBER RIVER                                                 ,Observational,USBR Gage                           ,NULL,A,40.78778149,-111.4039367,Scrape,Yes,https://waterrights.utah.gov/cgi-bin/dvrtview.exe?Modinfo=StationView&STATION_ID=500,77,1957,2025
CU_SCADA            ,CUWCD Scada,501,530 STRAWBERRY AQUEDUCT INFLOW                                                  ,OCFLOW_HIST                             ,Strawberry Aqueduct Inflow                                                                                                                                                                              ,Conveyance,3,501,DUCHESNE RIVER                                              ,Observational,10` Parshall Flume                  ,DIGITAL     ,A,40.21589665,-111.106087,Scrape,Yes,https://waterrights.utah.gov/cgi-bin/dvrtview.exe?Modinfo=StationView&STATION_ID=501,49,1953,2025
DUCHESNE            ,Duchesne River,509,070 RHOADES CANAL                                                               ,8428,Rhoades Canal                                                                                                                                                                                           ,Conveyance,2,509,DUCHESNE RIVER                                              ,Observational,Estimate                            ,DIGITAL     ,A,40.47764471,-110.8268015,Scrape,Yes,https://waterrights.utah.gov/cgi-bin/dvrtview.exe?Modinfo=StationView&STATION_ID=509,76,1949,2025
DUCHESNE            ,Duchesne River,510,160 FARM CREEK CANAL                                                            ,8592,Farm Creek Canal                                                                                                                                                                                        ,Conveyance,3,510,DUCHESNE RIVER                                              ,Observational,Recorder                            ,FLOWMETER   ,A,40.40155806,-110.7632903,Scrape,Yes,https://waterrights.utah.gov/cgi-bin/dvrtview.exe?Modinfo=StationView&STATION_ID=510,77,1949,2025
DUCHESNE            ,Duchesne River,512,190 JASPER PIKE CANAL                                                           ,8200,JASPER PIKE WATER FLOW 8200                                                                                                                                                                             ,Conveyance,3,512,DUCHESNE RIVER                                              ,Observational,Recorder                            ,DIGITAL     ,A,40.38552079,-110.7444065,Scrape,Yes,https://waterrights.utah.gov/cgi-bin/dvrtview.exe?Modinfo=StationView&STATION_ID=512,85,1935,2025
DUCHESNE            ,Duchesne River,513,360 PIONEER CANAL                                                               ,8768,Pioneeer at Head                                                                                                                                                                                        ,Conveyance,4,513,DUCHESNE RIVER                                              ,Observational,Recorder                            ,DIGITAL     ,A,40.2839802,-110.4633858,Scrape,Yes,https://waterrights.utah.gov/cgi-bin/dvrtview.exe?Modinfo=StationView&STATION_ID=513,68,1953,2025
DUCHESNE            ,Duchesne River,516,420 DUCHESNE FEEDER CANAL                                                       ,8078,DUCHESNE FEEDER CANAL                                                                                                                                                                                   ,Conveyance,1,516,DUCHESNE RIVER                                              ,Observational,CR-10 DATA LOGGER & AUTOMATIC GATE  ,DIGITAL     ,A,40.1713339,-110.3030198,Scrape,Yes,https://waterrights.utah.gov/cgi-bin/dvrtview.exe?Modinfo=StationView&STATION_ID=516,84,1942,2025
DWCCC               ,Davis and Weber Counties Canal Company,518,DWCCC AT HEADWORKS                                                              ,Headworks ADFM Flow                     ,                                                                                                                                                                                                        ,Conveyance,1,518,WEBER RIVER                                                 ,Observational,                                    ,NULL,A,41.13761059,-111.8874451,Scrape,Yes,https://waterrights.utah.gov/cgi-bin/dvrtview.exe?Modinfo=StationView&STATION_ID=518,51,1975,2025
DUCHESNE            ,Duchesne River,522,423 U. S. DRY GULCH                                                             ,8718,423 U. S. DRY GULCH                                                                                                                                                                                     ,Conveyance,2,522,DUCHESNE RIVER                                              ,Observational,                                    ,FLOWMETER   ,A,40.17878172,-110.1645211,Scrape,Yes,https://waterrights.utah.gov/cgi-bin/dvrtview.exe?Modinfo=StationView&STATION_ID=522,66,1942,2023
DUCHESNE            ,Duchesne River,525,430 GRAY MOUNTAIN CANAL                                                         ,8149,GRAY MOUNTAIN CANAL                                                                                                                                                                                     ,Conveyance,1,525,DUCHESNE RIVER                                              ,Observational,Real time Gauge ht. & flow          ,DIGITAL     ,A,40.16398244,-110.2762406,Scrape,Yes,https://waterrights.utah.gov/cgi-bin/dvrtview.exe?Modinfo=StationView&STATION_ID=525,87,1935,2025
DUCHESNE            ,Duchesne River,526,440 UINTAH BASIN IRRIGATION COMPANY                                             ,13662,UBIC (Pleasant Valley)                                                                                                                                                                                  ,Conveyance,1,526,DUCHESNE RIVER                                              ,Observational,"Flow Meter in Pipe, Ultrasnc Doppler",DIGITAL     ,A,40.15040282,-110.1603658,Scrape,Yes,https://waterrights.utah.gov/cgi-bin/dvrtview.exe?Modinfo=StationView&STATION_ID=526,76,1948,2024
DUCHESNE            ,Duchesne River,528,460_MYTON_TOWNSITE_CANAL                                                        ,8737,MYTON TOWNSITE CANAL                                                                                                                                                                                    ,Conveyance,4,528,DUCHESNE RIVER                                              ,Observational,Recorder Concrete Ramp Flume        ,DIGITAL     ,A,40.20402845,-110.1039793,Scrape,Yes,https://waterrights.utah.gov/cgi-bin/dvrtview.exe?Modinfo=StationView&STATION_ID=528,86,1935,2025
DUCHESNE            ,Duchesne River,529,480 OURAY SCHOOL CANAL                                                          ,8753,OURAY SCHOOL CANAL                                                                                                                                                                                      ,Conveyance,4,529,DUCHESNE RIVER                                              ,Observational,Recorder                            ,DIGITAL     ,A,40.20182058,-109.9068239,Scrape,Yes,https://waterrights.utah.gov/cgi-bin/dvrtview.exe?Modinfo=StationView&STATION_ID=529,86,1935,2025
USGS                ,USGS Gage,533,USGS OGDEN RIVER AT OGDEN UTAH                                                  ,10140700,"USGS Ogden River nr Gibson Avenue at Ogden, UT                                                                                                                                                          ",Stream,1,533,WEBER RIVER                                                 ,Observational,USGS gage station                   ,NULL,A,41.23184153,-111.9844369,Scrape,Yes,https://waterrights.utah.gov/cgi-bin/dvrtview.exe?Modinfo=StationView&STATION_ID=533,62,1959,2025
USGS                ,USGS Gage,534,USGS CHALK CREEK AT COALVILLE UTAH                                              ,10131000,"Chalk Creek at Coalville, UT                                                                                                                                                                            ",Stream,1,534,WEBER RIVER                                                 ,Observational,RATED SECTION                       ,NULL,A,40.92048705,-111.401312,Scrape,Yes,https://waterrights.utah.gov/cgi-bin/dvrtview.exe?Modinfo=StationView&STATION_ID=534,71,1947,2025
USBR                ,USBR,535,USBR ECHO RESERVOIR                                                             ,ECHO|storage                            ,from ftp.usbr.gov/UC_Outgoing_Cron/ nwsdata.dat `ECHO`|`storage` at 8:30AM                                                                                                                              ,Reservoir,1,535,WEBER RIVER                                                 ,Observational,USBR Gage                           ,NULL,A,40.96466437,-111.4300676,Scrape,Yes,https://waterrights.utah.gov/cgi-bin/dvrtview.exe?Modinfo=StationView&STATION_ID=535,87,1939,2025
USBR                ,USBR,536,USBR LOST CREEK RESERVOIR                                                       ,LOST CREEK|storage                      ,from ftp.usbr.gov/UC_Outgoing_Cron/ nwsdata.dat `LOST CREEK`|`storage` at 8:30AM                                                                                                                        ,Reservoir,1,536,WEBER RIVER                                                 ,Observational,USBR Gage                           ,NULL,A,41.18450672,-111.4005377,Scrape,Yes,https://waterrights.utah.gov/cgi-bin/dvrtview.exe?Modinfo=StationView&STATION_ID=536,59,1967,2025
USBR                ,USBR,538,USBR EAST CANYON RESERVOIR                                                      ,EAST CANYON|storage                     ,from ftp.usbr.gov/UC_Outgoing_Cron/ nwsdata.dat `EAST CANYON`|`storage` at 8:30AM                                                                                                                       ,Reservoir,1,538,WEBER RIVER                                                 ,Observational,USBR Gage                           ,NULL,A,40.92095994,-111.6006427,Scrape,Yes,https://waterrights.utah.gov/cgi-bin/dvrtview.exe?Modinfo=StationView&STATION_ID=538,79,1947,2025
USGS                ,USGS Gage,539,USGS EAST CANYON CREEK NEAR MORGAN UTAH                                         ,10134500,"USGS East Canyon Creek Near Morgan, UT                                                                                                                                                                  ",Stream,1,539,WEBER RIVER                                                 ,Observational,RATE LYMAN RECTANGULAR WEIR         ,NULL,A,40.92257519,-111.6070997,Scrape,Yes,https://waterrights.utah.gov/cgi-bin/dvrtview.exe?Modinfo=StationView&STATION_ID=539,71,1947,2025
DUCHESNE            ,Duchesne River,555,490 LELAND CANAL                                                                ,8686,LELAND CANAL                                                                                                                                                                                            ,Conveyance,5,555,DUCHESNE RIVER                                              ,Observational,3`Parshall Flume                    ,DIGITAL     ,A,40.20851923,-109.7994873,Scrape,Yes,https://waterrights.utah.gov/cgi-bin/dvrtview.exe?Modinfo=StationView&STATION_ID=555,33,1935,2025
WEBER_BASIN         ,Weber Basin Scada,580,WEBER BASIN GATEWAY CANAL STODDARD DIVERSON                                     ,Stoddard Flow                           ,                                                                                                                                                                                                        ,Conveyance,1,580,WEBER RIVER                                                 ,Observational,USBR and/or WBWCD Gage              ,NULL,A,41.07458447,-111.7371999,Scrape,Yes,https://waterrights.utah.gov/cgi-bin/dvrtview.exe?Modinfo=StationView&STATION_ID=580,37,1957,2025
SEVIER              ,Sevier River,710,LONG & EAST BENCH CANAL                                                         ,9141,Long and East Bench Canal                                                                                                                                                                               ,Conveyance,1,710,SEVIER RIVER                                                ,Observational,7 FT PARSHALL FLUME                 ,DIGITAL     ,A,37.81895261,-112.3958744,Scrape,Yes,https://waterrights.utah.gov/cgi-bin/dvrtview.exe?Modinfo=StationView&STATION_ID=710,93,1933,2025
SEVIER              ,Sevier River,711,EAST PANGUITCH CANAL                                                            ,9132,East Panguitch Canal                                                                                                                                                                                    ,Conveyance,1,711,SEVIER RIVER                                                ,Observational,4 foot Parshall Flume               ,NULL,A,37.82371478,-112.4043768,Scrape,Yes,https://waterrights.utah.gov/cgi-bin/dvrtview.exe?Modinfo=StationView&STATION_ID=711,98,1915,2024
SEVIER              ,Sevier River,712,LEFEVRE-BARTON-TEBBS DITCH                                                      ,9118,Bartin  LeFevre Tebbs Canal                                                                                                                                                                             ,Conveyance,1,712,SEVIER RIVER                                                ,Observational,                                    ,DIGITAL     ,A,37.87787186,-112.4296682,Scrape,Yes,https://waterrights.utah.gov/cgi-bin/dvrtview.exe?Modinfo=StationView&STATION_ID=712,95,1915,2025
SEVIER              ,Sevier River,713,MCEWAN CANAL                                                                    ,9145,McEwan Canal                                                                                                                                                                                            ,Conveyance,1,713,SEVIER RIVER                                                ,Observational,20 CFS RAMP FLUME                   ,DIGITAL     ,A,37.87720748,-112.4262784,Scrape,Yes,https://waterrights.utah.gov/cgi-bin/dvrtview.exe?Modinfo=StationView&STATION_ID=713,96,1915,2024
SEVIER              ,Sevier River,714,BEAR CREEK CANAL                                                                ,9124,Bear Creek Canal                                                                                                                                                                                        ,Conveyance,1,714,SEVIER RIVER                                                ,Observational,10 CFS RAMP FLUME                   ,DIGITAL     ,A,37.96116886,-112.4120875,Scrape,Yes,https://waterrights.utah.gov/cgi-bin/dvrtview.exe?Modinfo=StationView&STATION_ID=714,72,1951,2024
SEVIER              ,Sevier River,719,FOX CANAL (AKA LOSS CANAL)                                                      ,3906,Loss Creek Canal                                                                                                                                                                                        ,Conveyance,1,719,SEVIER RIVER                                                ,Observational,6 FOOT PARSHALL                     ,DIGITAL     ,A,38.14846171,-112.2914786,Scrape,Yes,https://waterrights.utah.gov/cgi-bin/dvrtview.exe?Modinfo=StationView&STATION_ID=719,96,1915,2025
SEVIER              ,Sevier River,720,WEST CANAL - CIRCLEVILLE                                                        ,4139,West Canal                                                                                                                                                                                              ,Conveyance,1,720,SEVIER RIVER                                                ,Observational,6 ft Parshall flume                 ,DIGITAL     ,A,38.15137006,-112.2906036,Scrape,Yes,https://waterrights.utah.gov/cgi-bin/dvrtview.exe?Modinfo=StationView&STATION_ID=720,97,1915,2025
SEVIER              ,Sevier River,721,OLD KINGSTON CANAL                                                              ,3943,Old Kingston Canal                                                                                                                                                                                      ,Conveyance,1,721,SEVIER RIVER                                                ,Observational,6 FOOT PARSHALL                     ,DIGITAL     ,A,38.15095075,-112.2894206,Scrape,Yes,https://waterrights.utah.gov/cgi-bin/dvrtview.exe?Modinfo=StationView&STATION_ID=721,96,1915,2025
SEVIER              ,Sevier River,722,DALTON-THOMPSON CANAL                                                           ,3780,Dalton Thompsen                                                                                                                                                                                         ,Conveyance,1,722,SEVIER RIVER                                                ,Observational,4 foot Parshall Flume               ,DIGITAL     ,A,38.16622138,-112.2695293,Scrape,Yes,https://waterrights.utah.gov/cgi-bin/dvrtview.exe?Modinfo=StationView&STATION_ID=722,92,1920,2025
SEVIER              ,Sevier River,723,JUNCTION CANAL                                                                  ,3887,JUNCTION CANAL                                                                                                                                                                                          ,Conveyance,1,723,SEVIER RIVER                                                ,Observational,Rated Orfice installed 2019         ,DIGITAL     ,A,38.19831604,-112.2290927,Scrape,Yes,https://waterrights.utah.gov/cgi-bin/dvrtview.exe?Modinfo=StationView&STATION_ID=723,89,1932,2024
SEVIER              ,Sevier River,724,JUNCTION MIDDLE DITCH                                                           ,3891,JUNCTION MIDDLE DITCH                                                                                                                                                                                   ,Conveyance,1,724,SEVIER RIVER                                                ,Observational,1.5 foot Parshall Flume             ,DIGITAL     ,A,38.20851707,-112.2100531,Scrape,Yes,https://waterrights.utah.gov/cgi-bin/dvrtview.exe?Modinfo=StationView&STATION_ID=724,95,1915,2025
