Site Code,Site Name,Latitude,Longitude,COLLECTION_SYSTEM,collection_sys_description,MasterStationID,MasterStationName,CollectionStationName,RETRIES,SEQ_NO,COMMENTS,LAT,LON,STATION_TYPE,COMMON_DESC,DIVERTING_WORKS,MEASURING_DEVICE,RECORD_RATING,SYSTEM_NAME,UNITS_ID,OWNER_NAME,CAPTURE_SEQ_NO,ANALOG_CHANNEL,LOW_FLOW,HIGH_FLOW,DEVICE_TYPE,OWNER_PHONE,REALTIME_INCLUDE,CORRECTED_DATA,STATUS,SYSTEM_GROUP,SYSTEM_SUBGROUP,ADDRESS_ID,DataEntryMethod,DataLogger,DatasetType,SeriesVerifiedBy,SeriesVerifiedDate,SiteState,SiteType,SiteVerifiedBy,SiteVerifiedDate,Telemetry
09265300,"ASHLEY CREEK ABOVE RED PINE CREEK NR VERNAL, UT",40.6796794,-109.6609775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09265500,ASHLEY CR ABV SP NR VERNAL UT,40.58884697,-109.6229194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09266000,ASHLEY CR SPRING NR VERNAL UT,40.5860692,-109.6229194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09266500,"ASHLEY CREEK NEAR VERNAL, UT",40.5774426,-109.6221085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09267100,"ASHLEY CREEK ABOVE DRY FORK, NR VERNAL, UTAH",40.53773628,-109.6098627,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09267500,"MOSBY CANAL NEAR LAPOINT, UT",40.6082881,-109.8840393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09268000,"DRY FORK ABOVE SINKS, NEAR DRY FORK, UTAH",40.6263445,-109.8201488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09268500,"NORTH FORK OF DRY FORK NEAR DRY FORK, UTAH",40.6427334,-109.810982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09268900,"BROWNIE CANYON ABOVE SINKS, NR DRY FORK, UTAH",40.65940095,-109.7509807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09269000,"EAST FORK OF DRY FORK NEAR DRY FORK, UTAH",40.64995639,-109.7618142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09269500,EAST FORK OF DRY FORK AT MOUTH NR DRY FORK,40.63328979,-109.7645918,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09270000,"DRY FORK BELOW SPRINGS NEAR DRY FORK, UTAH",40.56940199,-109.6976441,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09270500,"DRY FORK AT MOUTH NEAR DRY FORK, UTAH",40.5263475,-109.6056958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09271000,"ASHLEY CR NR REMEMBER THE MAINE PARK NR VERNAL, UT",40.5141111,-109.5943694,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09271070,"HIGHLINE CANAL BL MANTLE GULCH NR JENSEN, UTAH",40.36690605,-109.5034685,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09271300,"STEINAKER RESERVOIR NEAR VERNAL, UTAH",40.50690378,-109.5340263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09271400,"ASHLEY CREEK NEAR NAPLES, UT",40.43357206,-109.4662456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09271425,"ASHLEY CRK ABV RIV IRR PIPELINE NR NAPLES, UT",40.40657267,-109.4351054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09271450,"ASHLEY CREEK BL SADLIER DRAW, NEAR NAPLES, UT",40.39801727,-109.4295774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09271470,"RIVER IRRIGATION COMPANY CANAL NEAR JENSEN, UTAH",40.37857327,-109.4017985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09271500,"ASHLEY CREEK NEAR JENSEN, UTAH",40.37468439,-109.4081875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09271550,"ASHLEY CREEK BEL UNION CANAL DIV NR JENSEN, UT",40.3580023,-109.3876546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09271600,"STEWART LAKE OUTFLOW NEAR JENSEN, UT",40.3460739,-109.3631856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09272400,"GREEN RIVER AT OURAY, UTAH",40.0847972,-109.6758361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09272500,"DUCHESNE TUNNEL NEAR KAMAS, UTAH",40.59244518,-111.0026689,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09273000,"DUCHESNE R AT PROVO R TRAIL NR HANNA, UTAH",40.62494547,-110.8896127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09273200,DUCHESNE R BL LT DEER C NR HANNA UT,40.62216766,-110.8923904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09273500,"HADES CREEK NEAR HANNA, UTAH",40.53605548,-110.8673873,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09274000,"DUCHESNE RIVER (N.FORK) NEAR HANNA, UTAH",40.53327767,-110.8673872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09274900,"W.F. DUCHESNE RIV BEL VAT DIVERSION NR HANNA, UT",40.450223,-111.0043319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09275000,"W F DUCHESNE RIVER BL DRY HOLLOW NR HANNA, UT",40.44855637,-110.9757204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09275500,"WEST FORK DUCHESNE RIVER NEAR HANNA, UT",40.45022335,-110.8843304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09276000,"WOLF CREEK ABOVE RHOADES CANYON NEAR HANNA, UT",40.4710558,-110.9187754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09276500,WOLF CREEK NR HANNA UT,40.45272328,-110.8826638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09276600,"W.F. DUCHESNE RIVER ABV NORTH FORK, NR HANNA, UT",40.46160295,-110.836866,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09277000,"DUCHESNE R (@ 'THE POINT'), @ HANNA, UTAH",40.41522494,-110.7826621,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09277500,"DUCHESNE RIVER NEAR TABIONA, UT",40.2997472,-110.6042556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09277501,COM FL DUCHESNE R & DUCHESNE TUN NR TABIONA,40.30023027,-110.602381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09277800,"ROCK CREEK ABOVE SOUTH FORK, NEAR HANNA, UT",40.55744514,-110.6979414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09278000,"SOUTH FORK ROCK CREEK NEAR HANNA,UTAH",40.54827849,-110.69433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09278500,"ROCK CREEK NEAR HANNA, UTAH",40.545501,-110.656274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09278700,ROCK CR BL MINERS GULCH NR HANNA UTAH,40.53244575,-110.6234957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09279000,"ROCK CREEK NEAR MOUNTAIN HOME, UT",40.4931111,-110.5772222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09279100,"ROCK CREEK NEAR TALMAGE, UT",40.31106428,-110.4940467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09279150,"DUCHESNE RIV ABV KNIGHT DIVERSION, NR DUCHESNE, UT",40.27051046,-110.4426567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09279500,"DUCHESNE RIVER AT DUCHESNE, UTAH",40.16412475,-110.3934884,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09279501,COM FL DUCHESNE R AT DUCHESNE & DUCHESNE TUNNEL,40.16412475,-110.3934884,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09280000,"STRAWBERRY R AND WILLOW C DITCHES NR HEBER, UT",40.3332882,-111.2340606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09280400,HOBBLE CREEK AT DANIELS SUMMIT NEAR WALLSBURG UT,40.29828906,-111.2651733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09280500,"UPPER HOBBLE CREEK DITCH NEAR HEBER, UTAH",40.29995559,-111.2507279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09281000,"LOWER HOBBLE CREEK DITCH NEAR HEBER, UTAH",40.29995559,-111.2507279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09281500,"HOBBLE CREEK DITCH NEAR HEBER, UTAH",40.29995559,-111.2507279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09282000,"STRAWBERRY TUNNEL AT WEST PORTAL, NR THISTLE",40.1610673,-111.2451727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09282500,"STRAWBERRY RESERVOIR NR SOLDIER SPRINGS, UTAH",40.16939998,-111.1798927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09285000,"STRAWBERRY RIVER NEAR SOLDIER SPRINGS, UT",40.13328794,-111.024887,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09285500,WILLOW CR NR SOLDIER SPRINGS UT,40.1180103,-111.010442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09285700,"STRAWBERRY RIVER ABOVE RED C NR FRUITLAND, UT",40.11690036,-110.8082145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09285900,"STRAWBERRY RIVER AT PINNACLES NEAR FRUITLAND, UT",40.1271783,-110.7418242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09286100,"RED CREEK ABOVE RESERVOIR, NEAR FRUITLAND, UT",40.32994978,-110.8626625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09286500,"RED CREEK NR FRUITLAND, UTAH",40.2013428,-110.7840484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09286700,"CURRANT CRK BLW CURRANT CRK DAM, NR FRUITLAND, UT",40.33078385,-111.0496107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09287000,"CURRANT C BL RED LEDGE HOLLOW NR FRUITLAND, UT",40.3241173,-111.0459995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09287500,"WATER HOLLOW NR FRUITLAND, UTAH",40.2416191,-110.9807197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09288000,"CURRANT CREEK NEAR FRUITLAND, UT",40.20023128,-110.9076623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09288100,"RED CREEK BELOW CURRANT CREEK, NEAR FRUITLAND, U",40.14634437,-110.7532135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09288150,"W F AVINTAQUIN CREEK NR FRUITLAND, UTAH",39.9930144,-110.8148798,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09288180,"STRAWBERRY RIVER NEAR DUCHESNE, UT",40.1546793,-110.5548785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09288395,"STARVATON RESERVOIR NEAR DUCHESNE, UT",40.19079039,-110.4432113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09288400,"STRAWBERRY R BLW STARVATION RES NR DUCHESNE, UT",40.17384647,-110.4295999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09288500,"STRAWBERRY RIVER AT DUCHESNE, UTAH",40.16106914,-110.4118219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09288900,"SOWERS CREEK NEAR DUCHESNE, UTAH",39.9894064,-110.4598762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09289000,"ANTELOPE CREEK NEAR MYTON, UTAH",40.13607105,-110.209042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09289500,"LAKE FORK RIVER AB MOON LAKE, NR MOUNTAIN HOME, UT",40.6024722,-110.5205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09290000,"BROWN DUCK CREEK NEAR MOUNTAIN HOME, UTAH",40.5749462,-110.5173839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09290500,"MOON LAKE RESERVOIR NEAR MOUNTAIN HOME, UT",40.561891,-110.4898835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09291000,"LAKE FORK RIVER BL MOON LAKE NR MOUNTAIN HOME, UT",40.55633555,-110.4846056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09291200,"LAKE FORK R BL TASKEECH DAMSITE NR MT HOME, UT",40.501337,-110.4054383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09291500,"YELLOWSTONE CR. BELOW SWIFT CR.,NR ALTONAH,UT.",40.59716926,-110.3479376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09292000,"YELLOWSTONE R @ BRIDGE CMPGRND NR ALTONAH, UT",40.5463369,-110.333771,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09292500,"YELLOWSTONE RIVER NEAR ALTONAH, UT",40.51189299,-110.3415491,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09293000,"YELLOWSTONE RIVER @ MOUTH NR ALTONAH, UT",40.4441169,-110.3640482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09293500,"LAKE FORK RIVER NR ALTONAH, UT.",40.4368949,-110.3643258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09293600,"LAKE FORK RIVER NEAR ALTAMONT, UTAH",40.35773117,-110.3134906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09293700,"PIGEON WATER CREEK NEAR ALTAMONT, UTAH",40.31051058,-110.294045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09294000,"LAKE FORK RIVER NEAR UPALCO, UTAH",40.2582906,-110.2223761,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09294500,"LAKE FORK RIVER NEAR MYTON, UT",40.20883299,-110.1171195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09295000,"DUCHESNE RIVER AT MYTON, UT",40.20023757,-110.0637613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09295100,"DUCHESNE RIV ABV UINTA RIV, NR RANDLETT, UT",40.2066278,-109.8598673,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09295500,UINTA R BL GILBERT C N NEOLA UTAH,40.78605648,-110.2396005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09296000,UINTA R ABOVE CLOVER C NEAR NEOLA UTAH,40.63050466,-110.1590454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09296500,"CLOVER CREEK NEAR NEOLA, UTAH",40.6249498,-110.1312672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
