COLLECTION_SYSTEM,collection_sys_description,MasterStationID,MasterStationName,CollectionStationName,COMMENTS,SiteType,ANALOG_CHANNEL,STATION_ID,SYSTEM_NAME,DatasetType,MEASURING_DEVICE,DEVICE_TYPE,STATUS,LAT,LON,DataEntryMethod,Telemetry,StationPage,NoOfYears,StartYr,EndYr,TOTAL_RECORDS,TOTAL_NEGATIVE,TOTAL_ZERO,TOTAL_95th,TOTAL_IQR,TOTAL_RoC,TOTAL_REPEATED,TOTAL_IF,TOTAL_RSD,TOTAL_FLAGGED,NEGATIVE_RATIO,ZERO_RATIO,DISCHARGE_RATIO,IQR_RATIO,RoC_RATIO,REPEATED_RATIO,IF_RATIO,RSD_RATIO,TOTAL_IR_RECORDS,TOTAL_IR_NEGATIVE,TOTAL_IR_ZERO,TOTAL_IR_95th,TOTAL_IR_IQR,TOTAL_IR_RoC,TOTAL_IR_REPEATED,TOTAL_IR_IF,TOTAL_IR_RSD,TOTAL_IR_FLAGGED,NEGATIVE_IR_RATIO,ZERO_IR_RATIO,DISCHARGE_IR_RATIO,IQR_IR_RATIO,RoC_IR_RATIO,REPEATED_IR_RATIO,IF_IR_RATIO,RSD_IR_RATIO,TOTAL_NIR_RECORDS,TOTAL_NIR_NEGATIVE,TOTAL_NIR_ZERO,TOTAL_NIR_95th,TOTAL_NIR_IQR,TOTAL_NIR_RoC,TOTAL_NIR_REPEATED,TOTAL_NIR_IF,TOTAL_NIR_RSD,TOTAL_NIR_FLAGGED,NEGATIVE_NIR_RATIO,ZERO_NIR_RATIO,DISCHARGE_NIR_RATIO,IQR_NIR_RATIO,RoC_NIR_RATIO,REPEATED_NIR_RATIO,IF_NIR_RATIO,RSD_NIR_RATIO,TOTAL_IR_FLAGGED_RATIO,TOTAL_NIR_FLAGGED_RATIO,TOTAL_FLAGGED_RATIO,TOTAL_NO_FLAG,TOTAL_IR_NO_FLAG,TOTAL_NIR_NO_FLAG,TOTAL_NO_FLAG_RATIO,TOTAL_IR_NO_FLAG_RATIO,TOTAL_NIR_NO_FLAG_RATIO
LOGAN_DL            ,Logan River Dataloggers,56,8TH WARD CANAL (CROCKETT CANAL)                                                 ,8TH WARD CANAL (CROCKETT CANAL)         ,Radio - USU ADD:301 CH:1 PakBus 2                                                                                                                                                                       ,Conveyance,1,56,LOGAN RIVER                                                 ,Observational,10 ft. Parshall Flume with recorder ,DIGITAL     ,A,41.73414808,-111.8119708,Direct,Yes,https://waterrights.utah.gov/cgi-bin/dvrtview.exe?Modinfo=StationView&STATION_ID=56,51,1973,2025,10242,0,1910,370,0,0,568,414,0,2956,0,64.61434370771313,12.516914749661707,0,0,19.215155615696887,14.005412719891746,0,8392,0,838,370,0,0,446,277,0,1669,0,50.20970641102457,22.168963451168363,0,0,26.722588376273215,16.59676452965848,0,1850,0,1072,0,0,0,122,137,0,1287,0,83.29448329448329,0,0,0,9.479409479,10.644910644910645,0,19.89,69.57,28.86,7286,6723,563,71.13844952,80.11201144,30.43243243
USBR                ,USBR,73,SCOFIELD RESERVOIR RELEASES                                                     ,SCOFIELD|total release                  ,from ftp.usbr.gov/UC_Outgoing_Cron/ nwsdata.dat `SCOFIELD`|`release` at 8:30AM                                                                                                                          ,Reservoir Release,1,73,PRICE RIVER                                                 ,Observational,TELEMETRY SYSTEM                    ,DIGITAL     ,A,39.78644969,-111.1191397,Scrape,Yes,https://waterrights.utah.gov/cgi-bin/dvrtview.exe?Modinfo=StationView&STATION_ID=73,61,1958,2025,20719,0,3624,699,119,25,11487,805,31,15408,0,23.52024922,4.536604361370716,0.7723260643821391,0.1622533748701973,74.55218068535827,5.224558670820353,0.20119418483904467,10598,0,1192,617,107,21,4775,673,31,6251,0,19.068948968165095,9.870420733,1.7117261238201886,0.33594624860022393,76.38777795552711,10.7662774,0.49592065269556873,10121,0,2432,82,12,4,6712,132,0,9157,0,26.558916675767176,0.8954897892322813,0.13104728622911435,0.043682429,73.29911543081795,1.4415201485202578,0,58.98,90.48,74.37,5311,4347,964,25.63347652,41.01717305,9.524750519
CU_SCADA            ,CUWCD Scada,87,TIMPANOGOS CANAL (UTAH COUNTY)                                                  ,TCTOTFLOW_HIST                          ,Timpanogas and East Union Diversion (Utah County) (GPM)                                                                                                                                                 ,Conveyance,1,87,PROVO RIVER                                                 ,Observational,4 foot Parshall Flume               ,STAGE       ,A,40.59503372,-111.4249084,Scrape,Yes,https://waterrights.utah.gov/cgi-bin/dvrtview.exe?Modinfo=StationView&STATION_ID=87,59,1954,2024,15860,0,4242,571,72,6,6662,567,0,11270,0,37.63975155279503,5.066548358473824,0.6388642413487134,0.053238687,59.11268855368235,5.031055900621118,0,9598,0,1370,559,72,5,3820,518,0,5513,0,24.85035370941411,10.139669871213496,1.306003990567749,0.090694722,69.29076727734446,9.395973154362416,0,6262,0,2872,12,0,1,2842,49,0,5757,0,49.88709397255515,0.20844189682126105,0,0.017370158068438425,49.36598923,0.8511377453534826,0,57.44,91.94,71.06,4590,4085,505,28.9407314,42.5609502,8.064516129
CU_SCADA            ,CUWCD Scada,91,PROVO BENCH CANAL                                                               ,OREM\BR\ANALOG\PR_BENCH_CANAL_FLOW      ,Provo Bench Canal Diversion Rate                                                                                                                                                                        ,Conveyance,1,91,PROVO RIVER                                                 ,Observational,14.25 foot rect. suppressed weir    ,DIGITAL     ,A,40.29308817,-111.6700566,Scrape,Yes,https://waterrights.utah.gov/cgi-bin/dvrtview.exe?Modinfo=StationView&STATION_ID=91,55,1952,2025,11020,0,2651,406,0,0,5047,418,0,7955,0,33.32495285983658,5.103708359522313,0,0,63.44437460716531,5.254556882463859,0,8651,0,871,406,0,0,4657,357,0,5762,0,15.11627906976744,7.046164526206178,0,0,80.82263103089205,6.195765359,0,2369,0,1780,0,0,0,390,61,0,2193,0,81.16735066119472,0,0,0,17.783857729138166,2.7815777473780208,0,66.61,92.57,72.19,3065,2889,176,27.81306715,33.39498324,7.429295061
PROVO               ,Provo River Dataloggers,99,FORT FIELD CANAL                                                                ,Fort Field Canal                        ,2 ft Parshall Flume Submerged.  Pulsar flow sensor installed downstream of flume.                                                                                                                       ,Conveyance,1,99,PROVO RIVER                                                 ,Observational,Flow Meter (2 ft Flume Submerged)   ,,A,40.23417617,-111.693215,Scrape,Yes,https://waterrights.utah.gov/cgi-bin/dvrtview.exe?Modinfo=StationView&STATION_ID=99,53,1953,2025,9925,0,3999,290,119,18,3448,294,0,7654,0,52.24719101123596,3.788868565455971,1.5547426182388293,0.23517115233864647,45.04834073686961,3.8411288215312256,0,7703,0,2021,290,119,18,3252,281,0,5477,0,36.89976264378309,5.294869454,2.1727222932262187,0.3286470695636297,59.37557056782911,5.1305459192988865,0,2222,0,1978,0,0,0,196,13,0,2177,0,90.85898024804777,0,0,0,9.003215434083602,0.5971520440973818,0,71.1,97.97,77.12,2271,2226,45,22.88161209,28.89783201,2.02520252
CU_SCADA            ,CUWCD Scada,101,MIDWAY RIVER DITCH (TOTAL)                                                      ,OREM\OD\PL\FLOW                         ,Midway Ditch - Diversion                                                                                                                                                                                ,Conveyance,1,101,PROVO RIVER                                                 ,Observational,8 foot rectangular suppressed weir  ,DIGITAL     ,A,40.55411115,-111.4335673,Scrape,Yes,https://waterrights.utah.gov/cgi-bin/dvrtview.exe?Modinfo=StationView&STATION_ID=101,69,1950,2025,14570,1167,1542,532,1118,3,2437,592,0,6313,18.48566450182164,24.425788056391575,8.427055282749881,17.709488357357834,0.047520988436559476,38.60288293996515,9.377475051,0,11478,154,654,370,956,0,2333,337,0,4052,3.8005923000987165,16.140177690029613,9.131293188548865,23.593287265547875,0,57.576505429417566,8.316880552813426,0,3092,1013,888,162,162,3,104,255,0,2261,44.803184431667404,39.274657231313576,7.164971251658558,7.164971251658558,0.13268465280849182,4.599734630694384,11.278195488721805,0,35.3,73.12,43.33,8257,7426,831,56.67124228,64.69768252,26.87580854
CU_SCADA            ,CUWCD Scada,103,WASHINGTON/SOUTH KAMAS CANAL (TOTAL)                                            ,HPWSKFLOW_HIST                          ,Washington/South Kamas Canal total                                                                                                                                                                      ,Conveyance,1,103,PROVO RIVER                                                 ,Observational,14 foot rectangular suppressed weir ,DIGITAL     ,A,40.58190241,-111.2258134,Scrape,Yes,https://waterrights.utah.gov/cgi-bin/dvrtview.exe?Modinfo=StationView&STATION_ID=103,65,1950,2025,13917,0,1071,643,44,19,5347,642,0,6909,0,15.501519756838904,9.306701403965842,0.636850485,0.27500361846866406,77.39180778694457,9.292227529309596,0,10424,0,727,476,30,6,5188,349,0,6112,0,11.894633507853403,7.787958115183247,0.4908376963350785,0.098167539,84.88219895287958,5.710078534031414,0,3493,0,344,167,14,13,159,293,0,797,0,43.16185696361355,20.95357590966123,1.7565872020075282,1.631116687578419,19.949811794228356,36.762860727728985,0,58.63,22.82,49.64,7008,4312,2696,50.3556801,41.36607828,77.1829373
PROVO               ,Provo River Dataloggers,113,SUNRISE CANAL FROM PROVO RIVER                                                  ,Sunrise Irrigation                      ,                                                                                                                                                                                                        ,Conveyance,1,113,PROVO RIVER                                                 ,Observational,2 foot Parshall Flume               ,,A,40.55910968,-111.1910392,Direct,Yes,https://waterrights.utah.gov/cgi-bin/dvrtview.exe?Modinfo=StationView&STATION_ID=113,62,1950,2025,9374,0,2573,319,341,2,5031,328,0,7737,0,33.25578389556676,4.123045107922967,4.407393046400414,0.025849812588858732,65.02520356727413,4.239369264572832,0,8014,0,1559,319,341,2,4971,300,0,6635,0,23.49660889223813,4.807837227,5.139412207987943,0.030143180105501127,74.92087415222306,4.521477016,0,1360,0,1014,0,0,0,60,28,0,1102,0,92.01451905626135,0,0,0,5.444646098,2.540834845735027,0,82.79,81.03,82.54,1637,1379,258,17.46319607,17.20738707,18.97058824
PROVO               ,Provo River Dataloggers,115,PHILLIPS DITCH                                                                  ,Phillips Ditch                          ,Float Sensor for 3.0 FT Ramp Flume                                                                                                                                                                      ,Conveyance,1,115,PROVO RIVER                                                 ,Observational,3.0 FT Ramp Flume w/ Float Sensor   ,,A,40.5737235,-111.208832,Scrape,Yes,https://waterrights.utah.gov/cgi-bin/dvrtview.exe?Modinfo=StationView&STATION_ID=115,15,1989,2025,2230,0,268,72,46,13,1706,98,0,2079,0,12.890812890812892,3.463203463203463,2.2126022126022127,0.6253006253006254,82.05868205868207,4.713804713804714,0,2127,0,246,71,45,13,1706,71,0,2030,0,12.11822660098522,3.497536945812808,2.2167487684729066,0.6403940886699507,84.03940886699507,3.497536945812808,0,103,0,22,1,1,0,0,27,0,49,0,44.89795918367347,2.0408163265306123,2.0408163265306123,0,0,55.10204081632652,0,95.44,47.57,93.23,151,97,54,6.771300448,4.560413728,52.42718447
CU_SCADA            ,CUWCD Scada,122,DEER CREEK RESERVOIR (DAILY CONTENTS)                                           ,DC_CALC_RES_CONTENT                     ,Deer Creek Reservoir Content - Acre-Feet                                                                                                                                                                ,Reservoir,1,122,PROVO RIVER                                                 ,Observational,Balance Beam Manometer              ,DIGITAL     ,A,40.40732115,-111.5266169,Scrape,Yes,https://waterrights.utah.gov/cgi-bin/dvrtview.exe?Modinfo=StationView&STATION_ID=122,76,1949,2025,26675,0,71,1331,2510,0,630,1328,0,4693,0,1.5128915405923715,28.36138930321756,53.48391220967398,0,13.424248881312591,28.29746430854464,0,13409,0,15,1331,1542,0,101,776,0,3025,0,0.49586776859504134,44,50.97520661157024,0,3.3388429752066116,25.65289256198347,0,13266,0,56,0,968,0,529,552,0,1668,0,3.357314148681055,0,58.033573141486805,0,31.71462829736211,33.093525179856115,0,22.56,12.57,17.59,21982,10384,11598,82.40674789,77.44052502,87.42650384
LBEAR               ,Bear River (Cache),181,23  PAUL CARDON                                                                 ,Af                                      ,"23 - Radio - 202, UP&L                                                                                                                                                                                  ",Conveyance,1,181,LOWER BEAR RIVER                                            ,Observational,Ultrasonic Flow Sensor              ,FLOWMETER   ,A,41.81990317,-111.9476558,Direct,Yes,https://waterrights.utah.gov/cgi-bin/dvrtview.exe?Modinfo=StationView&STATION_ID=181,36,1989,2024,5918,0,4482,3,0,0,1127,72,0,5667,0,79.08946532556908,0.052938062,0,0,19.88706546673725,1.270513499205929,0,5103,0,3687,3,0,0,1119,70,0,4862,0,75.83299053887289,0.061703002879473466,0,0,23.015220074043604,1.439736733854381,0,815,0,795,0,0,0,8,2,0,805,0,98.75776397515527,0,0,0,0.9937888198757764,0.2484472049689441,0,95.28,98.77,95.76,251,241,10,4.241297736,4.72271213,1.226993865
WEBER               ,Weber River Dataloggers,248,LOWER MARION DITCH                                                              ,Lower Marion Ditch                      ,Ultrasonic Meter on Pipeline                                                                                                                                                                            ,Conveyance,1,248,WEBER RIVER                                                 ,Observational,Ultrasonic Flow Meter               ,,A,40.72098274,-111.2617509,Direct,Yes,https://waterrights.utah.gov/cgi-bin/dvrtview.exe?Modinfo=StationView&STATION_ID=248,77,1948,2025,13660,0,4384,450,24,4,8805,448,0,13302,0,32.95745000751767,3.3829499323410013,0.18042399639152007,0.030070666065253347,66.19305367613893,3.367914599308375,0,11631,0,2496,450,24,4,8665,433,0,11273,0,22.14139980484343,3.991838907123215,0.21289807504657146,0.035483013,76.86507584493924,3.8410361039652265,0,2029,0,1888,0,0,0,140,15,0,2029,0,93.05076392311483,0,0,0,6.899950714637752,0.7392804337111878,0,96.92,100,97.38,358,358,0,2.62079063,3.077981257,0
WEBER               ,Weber River Dataloggers,250,BOULDERVILLE DITCHES                                                            ,Boulderville                            ,                                                                                                                                                                                                        ,Conveyance,1,250,WEBER RIVER                                                 ,Observational,5-FT CONCRETE PARSHALL FLUME        ,,A,40.72310155,-111.2628703,Direct,Yes,https://waterrights.utah.gov/cgi-bin/dvrtview.exe?Modinfo=StationView&STATION_ID=250,77,1948,2025,13390,0,4285,308,2,0,7034,455,0,11444,0,37.443201677735054,2.6913666550157287,0.017476406850751483,0,61.46452289409298,3.975882558545963,0,11362,0,2750,308,2,0,6991,441,0,9852,0,27.91311408850995,3.126268777913114,0.020300446609825416,0,70.96021112464474,4.476248477466505,0,2028,0,1535,0,0,0,43,14,0,1592,0,96.41959798994975,0,0,0,2.701005025125628,0.8793969849246231,0,86.71,78.5,85.47,1946,1510,436,14.53323376,13.28991375,21.49901381
WEBER               ,Weber River Dataloggers,251,PEOA SOUTH BENCH CANAL                                                          ,Peoa-South                              ,                                                                                                                                                                                                        ,Conveyance,1,251,WEBER RIVER                                                 ,Observational,5 FOOT CONCRETE PARSHALL FLUME      ,,A,40.72067399,-111.2681748,Direct,Yes,https://waterrights.utah.gov/cgi-bin/dvrtview.exe?Modinfo=StationView&STATION_ID=251,67,1957,2024,11934,0,3990,253,0,0,7151,389,0,11159,0,35.75589210502733,2.2672282462586253,0,0,64.08280311855901,3.4859754458284793,0,10052,0,2315,253,0,0,7042,389,0,9375,0,24.693333333333335,2.6986666666666665,0,0,75.11466666666666,4.149333333333334,0,1882,0,1675,0,0,0,109,0,0,1784,0,93.89013452914799,0,0,0,6.109865470852018,0,0,93.27,94.79,93.51,775,677,98,6.494050612,6.734978114,5.207226355
WEBER_BASIN         ,Weber Basin Scada,268,EAST WANSHIP DITCH                                                              ,East Wanship 16 Flow                    ,                                                                                                                                                                                                        ,Conveyance,1,268,WEBER RIVER                                                 ,Observational,SPARLING METER                      ,,A,40.79047134,-111.4039723,Scrape,Yes,https://waterrights.utah.gov/cgi-bin/dvrtview.exe?Modinfo=StationView&STATION_ID=268,44,1948,2025,7532,2,3384,208,385,73,2314,200,84,5918,0.033795201,57.18148022980737,3.5147009124704294,6.5055762081784385,1.233524839472795,39.10104765123352,3.3795201081446438,1.4193984454207502,5305,2,1644,195,371,62,1983,187,81,3833,0.05217845,42.89068614662144,5.087398904252543,9.679102531,1.6175319593008088,51.734933472475866,4.878685103052439,2.1132272371510568,2227,0,1740,13,14,11,331,13,3,2085,0,83.45323741007195,0.6235011990407674,0.67146283,0.5275779376498801,15.875299760191847,0.6235011990407674,0.14388489208633093,72.25,93.62,78.57,1614,1472,142,21.42857143,27.74740811,6.376290974
