COLLECTION_SYSTEM,collection_sys_description,MasterStationID,MasterStationName,CollectionStationName,COMMENTS,SiteType,ANALOG_CHANNEL,STATION_ID,SYSTEM_NAME,DatasetType,MEASURING_DEVICE,DEVICE_TYPE,STATUS,LAT,LON,DataEntryMethod,Telemetry,StationPage,NoOfYears,StartYr,EndYr,TOTAL_RECORDS,TOTAL_NEGATIVE,TOTAL_ZERO,TOTAL_95th,TOTAL_IQR,TOTAL_RoC,TOTAL_REPEATED,TOTAL_IF,TOTAL_FLAGGED,FLAG_RATIO,ZERO_RATIO
LOGAN_DL            ,Logan River Dataloggers,56,8TH WARD CANAL (CROCKETT CANAL)                                                 ,8TH WARD CANAL (CROCKETT CANAL)         ,Radio - USU ADD:301 CH:1 PakBus 2                                                                                                                                                                       ,Conveyance,1,56,LOGAN RIVER                                                 ,Observational,10 ft. Parshall Flume with recorder ,DIGITAL     ,A,41.73414808,-111.8119708,Direct,Yes,https://waterrights.utah.gov/cgi-bin/dvrtview.exe?Modinfo=StationView&STATION_ID=56,51,1973,2025,10235,0,1904,370,0,0,988,399,3316,32.40%,18.60%
USBR                ,USBR,73,SCOFIELD RESERVOIR RELEASES                                                     ,SCOFIELD|total release                  ,from ftp.usbr.gov/UC_Outgoing_Cron/ nwsdata.dat `SCOFIELD`|`release` at 8:30AM                                                                                                                          ,Reservoir Release,1,73,PRICE RIVER                                                 ,Observational,TELEMETRY SYSTEM                    ,DIGITAL     ,A,39.78644969,-111.1191397,Scrape,Yes,https://waterrights.utah.gov/cgi-bin/dvrtview.exe?Modinfo=StationView&STATION_ID=73,61,1958,2025,20712,0,3624,699,119,25,12645,831,16504,79.68%,17.50%
CU_SCADA            ,CUWCD Scada,87,TIMPANOGOS CANAL (UTAH COUNTY)                                                  ,TCTOTFLOW_HIST                          ,Timpanogas and East Union Diversion (Utah County) (GPM)                                                                                                                                                 ,Conveyance,1,87,PROVO RIVER                                                 ,Observational,4 foot Parshall Flume               ,STAGE       ,A,40.59503372,-111.4249084,Scrape,Yes,https://waterrights.utah.gov/cgi-bin/dvrtview.exe?Modinfo=StationView&STATION_ID=87,59,1954,2024,15860,0,4242,571,72,6,7418,567,11942,75.30%,26.75%
CU_SCADA            ,CUWCD Scada,91,PROVO BENCH CANAL                                                               ,OREM\BR\ANALOG\PR_BENCH_CANAL_FLOW      ,Provo Bench Canal Diversion Rate                                                                                                                                                                        ,Conveyance,1,91,PROVO RIVER                                                 ,Observational,14.25 foot rect. suppressed weir    ,DIGITAL     ,A,40.29308817,-111.6700566,Scrape,Yes,https://waterrights.utah.gov/cgi-bin/dvrtview.exe?Modinfo=StationView&STATION_ID=91,55,1952,2025,11012,0,2643,406,0,0,5761,418,8610,78.19%,24.00%
PROVO               ,Provo River Dataloggers,99,FORT FIELD CANAL                                                                ,Fort Field Canal                        ,2 ft Parshall Flume Submerged.  Pulsar flow sensor installed downstream of flume.                                                                                                                       ,Conveyance,1,99,PROVO RIVER                                                 ,Observational,Flow Meter (2 ft Flume Submerged)   ,,A,40.23417617,-111.693215,Scrape,Yes,https://waterrights.utah.gov/cgi-bin/dvrtview.exe?Modinfo=StationView&STATION_ID=99,53,1953,2025,9918,0,3992,290,119,18,4207,294,8375,84.44%,40.25%
CU_SCADA            ,CUWCD Scada,101,MIDWAY RIVER DITCH (TOTAL)                                                      ,OREM\OD\PL\FLOW                         ,Midway Ditch - Diversion                                                                                                                                                                                ,Conveyance,1,101,PROVO RIVER                                                 ,Observational,8 foot rectangular suppressed weir  ,DIGITAL     ,A,40.55411115,-111.4335673,Scrape,Yes,https://waterrights.utah.gov/cgi-bin/dvrtview.exe?Modinfo=StationView&STATION_ID=101,69,1950,2025,14562,1167,1542,524,1112,3,3271,590,7081,48.63%,10.59%
CU_SCADA            ,CUWCD Scada,103,WASHINGTON/SOUTH KAMAS CANAL (TOTAL)                                            ,HPWSKFLOW_HIST                          ,Washington/South Kamas Canal total                                                                                                                                                                      ,Conveyance,1,103,PROVO RIVER                                                 ,Observational,14 foot rectangular suppressed weir ,DIGITAL     ,A,40.58190241,-111.2258134,Scrape,Yes,https://waterrights.utah.gov/cgi-bin/dvrtview.exe?Modinfo=StationView&STATION_ID=103,65,1950,2025,13909,0,1071,642,43,20,6127,640,7616,54.76%,7.70%
PROVO               ,Provo River Dataloggers,113,SUNRISE CANAL FROM PROVO RIVER                                                  ,Sunrise Irrigation                      ,                                                                                                                                                                                                        ,Conveyance,1,113,PROVO RIVER                                                 ,Observational,2 foot Parshall Flume               ,,A,40.55910968,-111.1910392,Direct,Yes,https://waterrights.utah.gov/cgi-bin/dvrtview.exe?Modinfo=StationView&STATION_ID=113,62,1950,2025,9367,0,2566,319,341,2,5628,328,8255,88.13%,27.39%
PROVO               ,Provo River Dataloggers,115,PHILLIPS DITCH                                                                  ,Phillips Ditch                          ,Float Sensor for 3.0 FT Ramp Flume                                                                                                                                                                      ,Conveyance,1,115,PROVO RIVER                                                 ,Observational,3.0 FT Ramp Flume w/ Float Sensor   ,,A,40.5737235,-111.208832,Scrape,Yes,https://waterrights.utah.gov/cgi-bin/dvrtview.exe?Modinfo=StationView&STATION_ID=115,15,1989,2025,2230,0,268,72,46,13,1721,98,2094,93.90%,12.02%
CU_SCADA            ,CUWCD Scada,122,DEER CREEK RESERVOIR (DAILY CONTENTS)                                           ,DC_CALC_RES_CONTENT                     ,Deer Creek Reservoir Content - Acre-Feet                                                                                                                                                                ,Reservoir,1,122,PROVO RIVER                                                 ,Observational,Balance Beam Manometer              ,DIGITAL     ,A,40.40732115,-111.5266169,Scrape,Yes,https://waterrights.utah.gov/cgi-bin/dvrtview.exe?Modinfo=StationView&STATION_ID=122,76,1949,2025,26667,0,71,1330,2510,0,1029,1328,5034,18.88%,0.27%
LBEAR               ,Bear River (Cache),181,23  PAUL CARDON                                                                 ,Af                                      ,"23 - Radio - 202, UP&L                                                                                                                                                                                  ",Conveyance,1,181,LOWER BEAR RIVER                                            ,Observational,Ultrasonic Flow Sensor              ,FLOWMETER   ,A,41.81990317,-111.9476558,Direct,Yes,https://waterrights.utah.gov/cgi-bin/dvrtview.exe?Modinfo=StationView&STATION_ID=181,36,1989,2024,5918,0,4482,3,0,0,1157,72,5694,96.21%,75.74%
WEBER               ,Weber River Dataloggers,248,LOWER MARION DITCH                                                              ,Lower Marion Ditch                      ,Ultrasonic Meter on Pipeline                                                                                                                                                                            ,Conveyance,1,248,WEBER RIVER                                                 ,Observational,Ultrasonic Flow Meter               ,,A,40.72098274,-111.2617509,Direct,Yes,https://waterrights.utah.gov/cgi-bin/dvrtview.exe?Modinfo=StationView&STATION_ID=248,77,1948,2025,13653,0,4377,450,24,4,8964,448,13433,98.39%,32.06%
WEBER               ,Weber River Dataloggers,250,BOULDERVILLE DITCHES                                                            ,Boulderville                            ,                                                                                                                                                                                                        ,Conveyance,1,250,WEBER RIVER                                                 ,Observational,5-FT CONCRETE PARSHALL FLUME        ,,A,40.72310155,-111.2628703,Direct,Yes,https://waterrights.utah.gov/cgi-bin/dvrtview.exe?Modinfo=StationView&STATION_ID=250,77,1948,2025,13383,0,4285,308,2,0,7283,412,11673,87.22%,32.02%
WEBER               ,Weber River Dataloggers,251,PEOA SOUTH BENCH CANAL                                                          ,Peoa-South                              ,                                                                                                                                                                                                        ,Conveyance,1,251,WEBER RIVER                                                 ,Observational,5 FOOT CONCRETE PARSHALL FLUME      ,,A,40.72067399,-111.2681748,Direct,Yes,https://waterrights.utah.gov/cgi-bin/dvrtview.exe?Modinfo=StationView&STATION_ID=251,67,1957,2024,11934,0,3990,253,0,0,7241,389,11249,94.26%,33.43%
WEBER_BASIN         ,Weber Basin Scada,268,EAST WANSHIP DITCH                                                              ,East Wanship 16 Flow                    ,                                                                                                                                                                                                        ,Conveyance,1,268,WEBER RIVER                                                 ,Observational,SPARLING METER                      ,,A,40.79047134,-111.4039723,Scrape,Yes,https://waterrights.utah.gov/cgi-bin/dvrtview.exe?Modinfo=StationView&STATION_ID=268,44,1948,2025,7525,2,3377,208,385,73,2497,200,6070,80.66%,44.88%
WEBER_BASIN         ,Weber Basin Scada,270,WEST WANSHIP DITCH                                                              ,Wanship West Wanship 14  Flow Meter     ,                                                                                                                                                                                                        ,Conveyance,1,270,WEBER RIVER                                                 ,Observational,SPARLING METER                      ,,A,40.79042579,-111.4041335,Scrape,Yes,https://waterrights.utah.gov/cgi-bin/dvrtview.exe?Modinfo=StationView&STATION_ID=270,48,1948,2025,8289,3,4451,185,444,103,2087,185,6782,81.82%,53.70%
WEBER               ,Weber River Dataloggers,368,EAST PORTERVILLE CANAL                                                          ,East Porterville                        ,East Porterville Canal                                                                                                                                                                                  ,Conveyance,1,368,WEBER RIVER                                                 ,Observational,4 FOOT PARSHALL FLUME               ,,A,40.95265186,-111.6580837,Direct,Yes,https://waterrights.utah.gov/cgi-bin/dvrtview.exe?Modinfo=StationView&STATION_ID=368,77,1948,2025,13928,0,2850,546,94,2,9403,553,12551,90.11%,20.46%
WEBER               ,Weber River Dataloggers,434,HOOPER CANAL                                                                    ,Hooper Canal                            ,Hooper Canal Diversion from the Willard Canal                                                                                                                                                           ,Conveyance,1,434,WEBER RIVER                                                 ,Observational,10 FOOT PARSHALL FLUME              ,,A,41.2301135,-112.017108,Direct,Yes,https://waterrights.utah.gov/cgi-bin/dvrtview.exe?Modinfo=StationView&STATION_ID=434,77,1948,2025,15852,0,3280,531,4,4,8301,618,12185,76.87%,20.69%
SEVIER              ,Sevier River,472,WEST HATCH DITCH                                                                ,9149,West Hatch Ditch                                                                                                                                                                                        ,Conveyance,1,472,SEVIER RIVER                                                ,Observational,3 foot Parshall Flume               ,,A,37.62718634,-112.4876025,Scrape,Yes,https://waterrights.utah.gov/cgi-bin/dvrtview.exe?Modinfo=StationView&STATION_ID=472,74,1951,2025,21093,0,5341,615,42,1,11851,627,17331,82.16%,25.32%
CU_SCADA            ,CUWCD Scada,481,380 STARVATION RESERVOIR STORAGE CONTENTS                                       ,SD_CALC_RES_CONTENT                     ,Starvation Reservoir Content - Acre-Feet                                                                                                                                                                ,Reservoir,2,481,DUCHESNE RIVER                                              ,Observational,Gage                                ,DIGITAL     ,A,40.19313596,-110.4447086,Scrape,Yes,https://waterrights.utah.gov/cgi-bin/dvrtview.exe?Modinfo=StationView&STATION_ID=481,33,1992,2025,11780,0,0,584,163,4,406,588,1282,10.88%,0.00%
SEVIER              ,Sevier River,492,EAST HATCH DITCH                                                                ,9128,East Hatch Ditch                                                                                                                                                                                        ,Conveyance,1,492,SEVIER RIVER                                                ,Observational,2 foot Parshall Flume               ,,A,37.63550715,-112.4329586,Scrape,Yes,https://waterrights.utah.gov/cgi-bin/dvrtview.exe?Modinfo=StationView&STATION_ID=492,74,1951,2025,17869,0,6756,349,7164,4,7995,550,15111,84.57%,37.81%
CU_SCADA            ,CUWCD Scada,494,CUWCD MIDWAY UPPER DAM (OVERFLOW OR BY-PASS)                                    ,SCADA.UMFLOW.F_CV                       ,Upper Midway - SCADA River Gauge                                                                                                                                                                        ,Stream,1,494,PROVO RIVER                                                 ,Observational,                                    ,DIGITAL     ,A,40.55412404,-111.4331922,Scrape,Yes,https://waterrights.utah.gov/cgi-bin/dvrtview.exe?Modinfo=StationView&STATION_ID=494,71,1950,2025,17625,0,277,868,2797,7,2125,831,5049,28.65%,1.57%
USBR                ,USBR,500,USBR WANSHIP RESERVOIR                                                          ,ROCKPORT RES|storage                    ,from ftp.usbr.gov/UC_Outgoing_Cron/ nwsdata.dat `ROCKPORT RESERVOIR`|`storage` at 8:30AM                                                                                                                ,Reservoir,1,500,WEBER RIVER                                                 ,Observational,USBR Gage                           ,,A,40.78778149,-111.4039367,Scrape,Yes,https://waterrights.utah.gov/cgi-bin/dvrtview.exe?Modinfo=StationView&STATION_ID=500,77,1957,2025,126186,0,756,1282,762,0,104452,1340,107060,84.84%,0.60%
CU_SCADA            ,CUWCD Scada,501,530 STRAWBERRY AQUEDUCT INFLOW                                                  ,OCFLOW_HIST                             ,Strawberry Aqueduct Inflow                                                                                                                                                                              ,Conveyance,3,501,DUCHESNE RIVER                                              ,Observational,10` Parshall Flume                  ,DIGITAL     ,A,40.21589665,-111.106087,Scrape,Yes,https://waterrights.utah.gov/cgi-bin/dvrtview.exe?Modinfo=StationView&STATION_ID=501,49,1953,2025,14979,0,494,724,1281,2,5137,725,6816,45.50%,3.30%
DUCHESNE            ,Duchesne River,509,070 RHOADES CANAL                                                               ,8428,Rhoades Canal                                                                                                                                                                                           ,Conveyance,2,509,DUCHESNE RIVER                                              ,Observational,Estimate                            ,DIGITAL     ,A,40.47764471,-110.8268015,Scrape,Yes,https://waterrights.utah.gov/cgi-bin/dvrtview.exe?Modinfo=StationView&STATION_ID=509,76,1949,2025,14827,0,2114,635,630,2,4729,635,7445,50.21%,14.26%
DUCHESNE            ,Duchesne River,510,160 FARM CREEK CANAL                                                            ,8592,Farm Creek Canal                                                                                                                                                                                        ,Conveyance,3,510,DUCHESNE RIVER                                              ,Observational,Recorder                            ,FLOWMETER   ,A,40.40155806,-110.7632903,Scrape,Yes,https://waterrights.utah.gov/cgi-bin/dvrtview.exe?Modinfo=StationView&STATION_ID=510,77,1949,2025,14343,1,1375,645,219,0,3571,644,5563,38.79%,9.59%
DUCHESNE            ,Duchesne River,512,190 JASPER PIKE CANAL                                                           ,8200,JASPER PIKE WATER FLOW 8200                                                                                                                                                                             ,Conveyance,3,512,DUCHESNE RIVER                                              ,Observational,Recorder                            ,DIGITAL     ,A,40.38552079,-110.7444065,Scrape,Yes,https://waterrights.utah.gov/cgi-bin/dvrtview.exe?Modinfo=StationView&STATION_ID=512,85,1935,2025,15808,0,1595,663,421,3,6696,705,8885,56.21%,10.09%
DUCHESNE            ,Duchesne River,513,360 PIONEER CANAL                                                               ,8768,Pioneeer at Head                                                                                                                                                                                        ,Conveyance,4,513,DUCHESNE RIVER                                              ,Observational,Recorder                            ,DIGITAL     ,A,40.2839802,-110.4633858,Scrape,Yes,https://waterrights.utah.gov/cgi-bin/dvrtview.exe?Modinfo=StationView&STATION_ID=513,68,1953,2025,13256,1,1369,517,306,11,4134,551,6128,46.23%,10.33%
DUCHESNE            ,Duchesne River,516,420 DUCHESNE FEEDER CANAL                                                       ,8078,DUCHESNE FEEDER CANAL                                                                                                                                                                                   ,Conveyance,1,516,DUCHESNE RIVER                                              ,Observational,CR-10 DATA LOGGER & AUTOMATIC GATE  ,DIGITAL     ,A,40.1713339,-110.3030198,Scrape,Yes,https://waterrights.utah.gov/cgi-bin/dvrtview.exe?Modinfo=StationView&STATION_ID=516,84,1942,2025,18011,0,1314,800,11,2,2760,828,5107,28.35%,7.30%
DWCCC               ,Davis and Weber Counties Canal Company,518,DWCCC AT HEADWORKS                                                              ,Headworks ADFM Flow                     ,                                                                                                                                                                                                        ,Conveyance,1,518,WEBER RIVER                                                 ,Observational,                                    ,,A,41.13761059,-111.8874451,Scrape,Yes,https://waterrights.utah.gov/cgi-bin/dvrtview.exe?Modinfo=StationView&STATION_ID=518,51,1975,2025,11660,0,3824,391,2,4,2982,364,7271,62.36%,32.80%
DUCHESNE            ,Duchesne River,522,423 U. S. DRY GULCH                                                             ,8718,423 U. S. DRY GULCH                                                                                                                                                                                     ,Conveyance,2,522,DUCHESNE RIVER                                              ,Observational,                                    ,FLOWMETER   ,A,40.17878172,-110.1645211,Scrape,Yes,https://waterrights.utah.gov/cgi-bin/dvrtview.exe?Modinfo=StationView&STATION_ID=522,66,1942,2023,14333,0,1760,593,38,2,6607,629,8819,61.53%,12.28%
DUCHESNE            ,Duchesne River,525,430 GRAY MOUNTAIN CANAL                                                         ,8149,GRAY MOUNTAIN CANAL                                                                                                                                                                                     ,Conveyance,1,525,DUCHESNE RIVER                                              ,Observational,Real time Gauge ht. & flow          ,DIGITAL     ,A,40.16398244,-110.2762406,Scrape,Yes,https://waterrights.utah.gov/cgi-bin/dvrtview.exe?Modinfo=StationView&STATION_ID=525,87,1935,2025,17636,0,1179,815,4,0,2341,818,4713,26.72%,6.69%
DUCHESNE            ,Duchesne River,526,440 UINTAH BASIN IRRIGATION COMPANY                                             ,13662,UBIC (Pleasant Valley)                                                                                                                                                                                  ,Conveyance,1,526,DUCHESNE RIVER                                              ,Observational,"Flow Meter in Pipe, Ultrasnc Doppler",DIGITAL     ,A,40.15040282,-110.1603658,Scrape,Yes,https://waterrights.utah.gov/cgi-bin/dvrtview.exe?Modinfo=StationView&STATION_ID=526,76,1948,2024,15885,2,1995,694,4,1,1094,684,4043,25.45%,12.56%
DUCHESNE            ,Duchesne River,528,460_MYTON_TOWNSITE_CANAL                                                        ,8737,MYTON TOWNSITE CANAL                                                                                                                                                                                    ,Conveyance,4,528,DUCHESNE RIVER                                              ,Observational,Recorder Concrete Ramp Flume        ,DIGITAL     ,A,40.20402845,-110.1039793,Scrape,Yes,https://waterrights.utah.gov/cgi-bin/dvrtview.exe?Modinfo=StationView&STATION_ID=528,86,1935,2025,18123,0,1101,800,229,3,3329,852,5339,29.46%,6.08%
DUCHESNE            ,Duchesne River,529,480 OURAY SCHOOL CANAL                                                          ,8753,OURAY SCHOOL CANAL                                                                                                                                                                                      ,Conveyance,4,529,DUCHESNE RIVER                                              ,Observational,Recorder                            ,DIGITAL     ,A,40.20182058,-109.9068239,Scrape,Yes,https://waterrights.utah.gov/cgi-bin/dvrtview.exe?Modinfo=StationView&STATION_ID=529,86,1935,2025,17368,0,1357,792,360,23,4216,791,6348,36.55%,7.81%
USGS                ,USGS Gage,533,USGS OGDEN RIVER AT OGDEN UTAH                                                  ,10140700,"USGS Ogden River nr Gibson Avenue at Ogden, UT                                                                                                                                                          ",Stream,1,533,WEBER RIVER                                                 ,Observational,USGS gage station                   ,,A,41.23184153,-111.9844369,Scrape,Yes,https://waterrights.utah.gov/cgi-bin/dvrtview.exe?Modinfo=StationView&STATION_ID=533,62,1959,2025,9918,0,1237,433,444,4,753,433,2430,24.50%,12.47%
USGS                ,USGS Gage,534,USGS CHALK CREEK AT COALVILLE UTAH                                              ,10131000,"Chalk Creek at Coalville, UT                                                                                                                                                                            ",Stream,1,534,WEBER RIVER                                                 ,Observational,RATED SECTION                       ,,A,40.92048705,-111.401312,Scrape,Yes,https://waterrights.utah.gov/cgi-bin/dvrtview.exe?Modinfo=StationView&STATION_ID=534,71,1947,2025,24072,0,2,1194,3405,7,2910,1201,6304,26.19%,0.01%
USBR                ,USBR,535,USBR ECHO RESERVOIR                                                             ,ECHO|storage                            ,from ftp.usbr.gov/UC_Outgoing_Cron/ nwsdata.dat `ECHO`|`storage` at 8:30AM                                                                                                                              ,Reservoir,1,535,WEBER RIVER                                                 ,Observational,USBR Gage                           ,,A,40.96466437,-111.4300676,Scrape,Yes,https://waterrights.utah.gov/cgi-bin/dvrtview.exe?Modinfo=StationView&STATION_ID=535,87,1939,2025,31251,0,60,1559,0,0,2393,1537,4764,15.24%,0.19%
USBR                ,USBR,536,USBR LOST CREEK RESERVOIR                                                       ,LOST CREEK|storage                      ,from ftp.usbr.gov/UC_Outgoing_Cron/ nwsdata.dat `LOST CREEK`|`storage` at 8:30AM                                                                                                                        ,Reservoir,1,536,WEBER RIVER                                                 ,Observational,USBR Gage                           ,,A,41.18450672,-111.4005377,Scrape,Yes,https://waterrights.utah.gov/cgi-bin/dvrtview.exe?Modinfo=StationView&STATION_ID=536,59,1967,2025,18006,0,7778,502,7993,0,824,512,9430,52.37%,43.20%
USBR                ,USBR,538,USBR EAST CANYON RESERVOIR                                                      ,EAST CANYON|storage                     ,from ftp.usbr.gov/UC_Outgoing_Cron/ nwsdata.dat `EAST CANYON`|`storage` at 8:30AM                                                                                                                       ,Reservoir,1,538,WEBER RIVER                                                 ,Observational,USBR Gage                           ,,A,40.92095994,-111.6006427,Scrape,Yes,https://waterrights.utah.gov/cgi-bin/dvrtview.exe?Modinfo=StationView&STATION_ID=538,79,1947,2025,25947,0,13589,600,13742,0,687,617,15247,58.76%,52.37%
USGS                ,USGS Gage,539,USGS EAST CANYON CREEK NEAR MORGAN UTAH                                         ,10134500,"USGS East Canyon Creek Near Morgan, UT                                                                                                                                                                  ",Stream,1,539,WEBER RIVER                                                 ,Observational,RATE LYMAN RECTANGULAR WEIR         ,,A,40.92257519,-111.6070997,Scrape,Yes,https://waterrights.utah.gov/cgi-bin/dvrtview.exe?Modinfo=StationView&STATION_ID=539,71,1947,2025,24072,0,1,1193,643,5,14875,1197,15719,65.30%,0.00%
DUCHESNE            ,Duchesne River,555,490 LELAND CANAL                                                                ,8686,LELAND CANAL                                                                                                                                                                                            ,Conveyance,5,555,DUCHESNE RIVER                                              ,Observational,3`Parshall Flume                    ,DIGITAL     ,A,40.20851923,-109.7994873,Scrape,Yes,https://waterrights.utah.gov/cgi-bin/dvrtview.exe?Modinfo=StationView&STATION_ID=555,33,1935,2025,6407,0,269,307,101,15,3231,306,3857,60.20%,4.20%
WEBER_BASIN         ,Weber Basin Scada,580,WEBER BASIN GATEWAY CANAL STODDARD DIVERSON                                     ,Stoddard Flow                           ,                                                                                                                                                                                                        ,Conveyance,1,580,WEBER RIVER                                                 ,Observational,USBR and/or WBWCD Gage              ,,A,41.07458447,-111.7371999,Scrape,Yes,https://waterrights.utah.gov/cgi-bin/dvrtview.exe?Modinfo=StationView&STATION_ID=580,37,1957,2025,10555,0,729,492,1,2,2160,492,3550,33.63%,6.91%
SEVIER              ,Sevier River,710,LONG & EAST BENCH CANAL                                                         ,9141,Long and East Bench Canal                                                                                                                                                                               ,Conveyance,1,710,SEVIER RIVER                                                ,Observational,7 FT PARSHALL FLUME                 ,DIGITAL     ,A,37.81895261,-112.3958744,Scrape,Yes,https://waterrights.utah.gov/cgi-bin/dvrtview.exe?Modinfo=StationView&STATION_ID=710,93,1933,2025,27287,0,4042,1125,109,0,7568,1118,12797,46.90%,14.81%
