COLLECTION_SYSTEM,collection_sys_description,MasterStationID,MasterStationName,CollectionStationName,COMMENTS,SiteType,ANALOG_CHANNEL,STATION_ID,SYSTEM_NAME,DatasetType,MEASURING_DEVICE,DEVICE_TYPE,STATUS,LAT,LON,DataEntryMethod,Telemetry,StationPage,NoOfYears,StartYr,EndYr,TOTAL_RECORDS,TOTAL_NEGATIVE,TOTAL_ZERO,TOTAL_95th,TOTAL_IQR,TOTAL_RoC,TOTAL_REPEATED,TOTAL_IF,TOTAL_RSD,TOTAL_FLAGGED,FLAG_RATIO,ZERO_RATIO,REPEATED_RATIO
LOGAN_DL            ,Logan River Dataloggers,56,8TH WARD CANAL (CROCKETT CANAL)                                                 ,8TH WARD CANAL (CROCKETT CANAL)         ,Radio - USU ADD:301 CH:1 PakBus 2                                                                                                                                                                       ,Conveyance,1.0,56,LOGAN RIVER                                                 ,Observational,10 ft. Parshall Flume with recorder ,DIGITAL     ,A,41.73414808,-111.8119708,Direct,Yes,https://waterrights.utah.gov/cgi-bin/dvrtview.exe?Modinfo=StationView&STATION_ID=56,51,1973.0,2025.0,10236,0,1905,370,0,0,988,399,0,3317,32.41%,18.61%,29.79%
USBR                ,USBR,73,SCOFIELD RESERVOIR RELEASES                                                     ,SCOFIELD|total release                  ,from ftp.usbr.gov/UC_Outgoing_Cron/ nwsdata.dat `SCOFIELD`|`release` at 8:30AM                                                                                                                          ,Reservoir Release,1.0,73,PRICE RIVER                                                 ,Observational,TELEMETRY SYSTEM                    ,DIGITAL     ,A,39.78644969,-111.1191397,Scrape,Yes,https://waterrights.utah.gov/cgi-bin/dvrtview.exe?Modinfo=StationView&STATION_ID=73,61,1958.0,2025.0,20713,0,3624,699,119,25,12645,843,31,16504,79.68%,17.50%,76.62%
CU_SCADA            ,CUWCD Scada,87,TIMPANOGOS CANAL (UTAH COUNTY)                                                  ,TCTOTFLOW_HIST                          ,Timpanogas and East Union Diversion (Utah County) (GPM)                                                                                                                                                 ,Conveyance,1.0,87,PROVO RIVER                                                 ,Observational,4 foot Parshall Flume               ,STAGE       ,A,40.59503372,-111.4249084,Scrape,Yes,https://waterrights.utah.gov/cgi-bin/dvrtview.exe?Modinfo=StationView&STATION_ID=87,59,1954.0,2024.0,15860,0,4242,571,72,6,7418,567,0,11942,75.30%,26.75%,62.12%
CU_SCADA            ,CUWCD Scada,91,PROVO BENCH CANAL                                                               ,OREM\BR\ANALOG\PR_BENCH_CANAL_FLOW      ,Provo Bench Canal Diversion Rate                                                                                                                                                                        ,Conveyance,1.0,91,PROVO RIVER                                                 ,Observational,14.25 foot rect. suppressed weir    ,DIGITAL     ,A,40.29308817,-111.6700566,Scrape,Yes,https://waterrights.utah.gov/cgi-bin/dvrtview.exe?Modinfo=StationView&STATION_ID=91,55,1952.0,2025.0,11014,0,2645,406,0,0,5761,418,0,8612,78.19%,24.01%,66.90%
PROVO               ,Provo River Dataloggers,99,FORT FIELD CANAL                                                                ,Fort Field Canal                        ,2 ft Parshall Flume Submerged.  Pulsar flow sensor installed downstream of flume.                                                                                                                       ,Conveyance,1.0,99,PROVO RIVER                                                 ,Observational,Flow Meter (2 ft Flume Submerged)   ,,A,40.23417617,-111.693215,Scrape,Yes,https://waterrights.utah.gov/cgi-bin/dvrtview.exe?Modinfo=StationView&STATION_ID=99,53,1953.0,2025.0,9919,0,3993,290,119,18,4207,294,0,8376,84.44%,40.26%,50.23%
CU_SCADA            ,CUWCD Scada,101,MIDWAY RIVER DITCH (TOTAL)                                                      ,OREM\OD\PL\FLOW                         ,Midway Ditch - Diversion                                                                                                                                                                                ,Conveyance,1.0,101,PROVO RIVER                                                 ,Observational,8 foot rectangular suppressed weir  ,DIGITAL     ,A,40.55411115,-111.4335673,Scrape,Yes,https://waterrights.utah.gov/cgi-bin/dvrtview.exe?Modinfo=StationView&STATION_ID=101,69,1950.0,2025.0,14564,1167,1542,526,1112,3,3271,592,0,7074,48.57%,10.59%,46.24%
CU_SCADA            ,CUWCD Scada,103,WASHINGTON/SOUTH KAMAS CANAL (TOTAL)                                            ,HPWSKFLOW_HIST                          ,Washington/South Kamas Canal total                                                                                                                                                                      ,Conveyance,1.0,103,PROVO RIVER                                                 ,Observational,14 foot rectangular suppressed weir ,DIGITAL     ,A,40.58190241,-111.2258134,Scrape,Yes,https://waterrights.utah.gov/cgi-bin/dvrtview.exe?Modinfo=StationView&STATION_ID=103,65,1950.0,2025.0,13911,0,1071,642,44,19,6127,637,0,7575,54.45%,7.70%,80.88%
PROVO               ,Provo River Dataloggers,113,SUNRISE CANAL FROM PROVO RIVER                                                  ,Sunrise Irrigation                      ,                                                                                                                                                                                                        ,Conveyance,1.0,113,PROVO RIVER                                                 ,Observational,2 foot Parshall Flume               ,,A,40.55910968,-111.1910392,Direct,Yes,https://waterrights.utah.gov/cgi-bin/dvrtview.exe?Modinfo=StationView&STATION_ID=113,62,1950.0,2025.0,9368,0,2567,319,341,2,5628,328,0,8256,88.13%,27.40%,68.17%
PROVO               ,Provo River Dataloggers,115,PHILLIPS DITCH                                                                  ,Phillips Ditch                          ,Float Sensor for 3.0 FT Ramp Flume                                                                                                                                                                      ,Conveyance,1.0,115,PROVO RIVER                                                 ,Observational,3.0 FT Ramp Flume w/ Float Sensor   ,,A,40.5737235,-111.208832,Scrape,Yes,https://waterrights.utah.gov/cgi-bin/dvrtview.exe?Modinfo=StationView&STATION_ID=115,15,1989.0,2025.0,2230,0,268,72,46,13,1721,98,0,2094,93.90%,12.02%,82.19%
CU_SCADA            ,CUWCD Scada,122,DEER CREEK RESERVOIR (DAILY CONTENTS)                                           ,DC_CALC_RES_CONTENT                     ,Deer Creek Reservoir Content - Acre-Feet                                                                                                                                                                ,Reservoir,1.0,122,PROVO RIVER                                                 ,Observational,Balance Beam Manometer              ,DIGITAL     ,A,40.40732115,-111.5266169,Scrape,Yes,https://waterrights.utah.gov/cgi-bin/dvrtview.exe?Modinfo=StationView&STATION_ID=122,76,1949.0,2025.0,26669,0,71,1330,2510,0,1029,1328,0,5034,18.88%,0.27%,20.44%
LBEAR               ,Bear River (Cache),181,23  PAUL CARDON                                                                 ,Af                                      ,"23 - Radio - 202, UP&L                                                                                                                                                                                  ",Conveyance,1.0,181,LOWER BEAR RIVER                                            ,Observational,Ultrasonic Flow Sensor              ,FLOWMETER   ,A,41.81990317,-111.9476558,Direct,Yes,https://waterrights.utah.gov/cgi-bin/dvrtview.exe?Modinfo=StationView&STATION_ID=181,36,1989.0,2024.0,5918,0,4482,3,0,0,1157,72,0,5694,96.21%,75.74%,20.32%
WEBER               ,Weber River Dataloggers,248,LOWER MARION DITCH                                                              ,Lower Marion Ditch                      ,Ultrasonic Meter on Pipeline                                                                                                                                                                            ,Conveyance,1.0,248,WEBER RIVER                                                 ,Observational,Ultrasonic Flow Meter               ,,A,40.72098274,-111.2617509,Direct,Yes,https://waterrights.utah.gov/cgi-bin/dvrtview.exe?Modinfo=StationView&STATION_ID=248,77,1948.0,2025.0,13654,0,4378,450,24,4,8964,448,0,13434,98.39%,32.06%,66.73%
WEBER               ,Weber River Dataloggers,250,BOULDERVILLE DITCHES                                                            ,Boulderville                            ,                                                                                                                                                                                                        ,Conveyance,1.0,250,WEBER RIVER                                                 ,Observational,5-FT CONCRETE PARSHALL FLUME        ,,A,40.72310155,-111.2628703,Direct,Yes,https://waterrights.utah.gov/cgi-bin/dvrtview.exe?Modinfo=StationView&STATION_ID=250,77,1948.0,2025.0,13384,0,4285,308,2,0,7283,446,0,11756,87.84%,32.02%,61.95%
WEBER               ,Weber River Dataloggers,251,PEOA SOUTH BENCH CANAL                                                          ,Peoa-South                              ,                                                                                                                                                                                                        ,Conveyance,1.0,251,WEBER RIVER                                                 ,Observational,5 FOOT CONCRETE PARSHALL FLUME      ,,A,40.72067399,-111.2681748,Direct,Yes,https://waterrights.utah.gov/cgi-bin/dvrtview.exe?Modinfo=StationView&STATION_ID=251,67,1957.0,2024.0,11934,0,3990,253,0,0,7241,389,0,11249,94.26%,33.43%,64.37%
WEBER_BASIN         ,Weber Basin Scada,268,EAST WANSHIP DITCH                                                              ,East Wanship 16 Flow                    ,                                                                                                                                                                                                        ,Conveyance,1.0,268,WEBER RIVER                                                 ,Observational,SPARLING METER                      ,,A,40.79047134,-111.4039723,Scrape,Yes,https://waterrights.utah.gov/cgi-bin/dvrtview.exe?Modinfo=StationView&STATION_ID=268,44,1948.0,2025.0,7526,2,3378,208,385,73,2497,200,84,6071,80.67%,44.88%,41.13%
WEBER_BASIN         ,Weber Basin Scada,270,WEST WANSHIP DITCH                                                              ,Wanship West Wanship 14  Flow Meter     ,                                                                                                                                                                                                        ,Conveyance,1.0,270,WEBER RIVER                                                 ,Observational,SPARLING METER                      ,,A,40.79042579,-111.4041335,Scrape,Yes,https://waterrights.utah.gov/cgi-bin/dvrtview.exe?Modinfo=StationView&STATION_ID=270,48,1948.0,2025.0,8290,3,4452,185,444,103,2087,185,79,6783,81.82%,53.70%,30.77%
WEBER               ,Weber River Dataloggers,368,EAST PORTERVILLE CANAL                                                          ,East Porterville                        ,East Porterville Canal                                                                                                                                                                                  ,Conveyance,1.0,368,WEBER RIVER                                                 ,Observational,4 FOOT PARSHALL FLUME               ,,A,40.95265186,-111.6580837,Direct,Yes,https://waterrights.utah.gov/cgi-bin/dvrtview.exe?Modinfo=StationView&STATION_ID=368,77,1948.0,2025.0,13929,0,2850,546,94,2,9403,549,0,12535,89.99%,20.46%,75.01%
WEBER               ,Weber River Dataloggers,434,HOOPER CANAL                                                                    ,Hooper Canal                            ,Hooper Canal Diversion from the Willard Canal                                                                                                                                                           ,Conveyance,1.0,434,WEBER RIVER                                                 ,Observational,10 FOOT PARSHALL FLUME              ,,A,41.2301135,-112.017108,Direct,Yes,https://waterrights.utah.gov/cgi-bin/dvrtview.exe?Modinfo=StationView&STATION_ID=434,77,1948.0,2025.0,15853,0,3280,531,4,4,8301,615,0,12182,76.84%,20.69%,68.14%
SEVIER              ,Sevier River,472,WEST HATCH DITCH                                                                ,9149,West Hatch Ditch                                                                                                                                                                                        ,Conveyance,1.0,472,SEVIER RIVER                                                ,Observational,3 foot Parshall Flume               ,,A,37.62718634,-112.4876025,Scrape,Yes,https://waterrights.utah.gov/cgi-bin/dvrtview.exe?Modinfo=StationView&STATION_ID=472,74,1951.0,2025.0,21094,0,5341,615,42,1,11851,765,0,17321,82.11%,25.32%,68.42%
CU_SCADA            ,CUWCD Scada,481,380 STARVATION RESERVOIR STORAGE CONTENTS                                       ,SD_CALC_RES_CONTENT                     ,Starvation Reservoir Content - Acre-Feet                                                                                                                                                                ,Reservoir,2.0,481,DUCHESNE RIVER                                              ,Observational,Gage                                ,DIGITAL     ,A,40.19313596,-110.4447086,Scrape,Yes,https://waterrights.utah.gov/cgi-bin/dvrtview.exe?Modinfo=StationView&STATION_ID=481,33,1992.0,2025.0,11782,0,0,584,163,4,406,590,0,1290,10.95%,0.00%,31.47%
SEVIER              ,Sevier River,492,EAST HATCH DITCH                                                                ,9128,East Hatch Ditch                                                                                                                                                                                        ,Conveyance,1.0,492,SEVIER RIVER                                                ,Observational,2 foot Parshall Flume               ,,A,37.63550715,-112.4329586,Scrape,Yes,https://waterrights.utah.gov/cgi-bin/dvrtview.exe?Modinfo=StationView&STATION_ID=492,74,1951.0,2025.0,17870,0,6757,349,7165,4,7995,550,0,15112,84.57%,37.81%,52.90%
CU_SCADA            ,CUWCD Scada,494,CUWCD MIDWAY UPPER DAM (OVERFLOW OR BY-PASS)                                    ,SCADA.UMFLOW.F_CV                       ,Upper Midway - SCADA River Gauge                                                                                                                                                                        ,Stream,1.0,494,PROVO RIVER                                                 ,Observational,                                    ,DIGITAL     ,A,40.55412404,-111.4331922,Scrape,Yes,https://waterrights.utah.gov/cgi-bin/dvrtview.exe?Modinfo=StationView&STATION_ID=494,71,1950.0,2025.0,17627,0,277,868,2794,7,2125,868,8,5046,28.63%,1.57%,42.11%
USBR                ,USBR,500,USBR WANSHIP RESERVOIR                                                          ,ROCKPORT RES|storage                    ,from ftp.usbr.gov/UC_Outgoing_Cron/ nwsdata.dat `ROCKPORT RESERVOIR`|`storage` at 8:30AM                                                                                                                ,Reservoir,1.0,500,WEBER RIVER                                                 ,Observational,USBR Gage                           ,,A,40.78778149,-111.4039367,Scrape,Yes,https://waterrights.utah.gov/cgi-bin/dvrtview.exe?Modinfo=StationView&STATION_ID=500,77,1957.0,2025.0,126187,0,756,1282,762,0,104452,1340,0,107060,84.84%,0.60%,97.56%
CU_SCADA            ,CUWCD Scada,501,530 STRAWBERRY AQUEDUCT INFLOW                                                  ,OCFLOW_HIST                             ,Strawberry Aqueduct Inflow                                                                                                                                                                              ,Conveyance,3.0,501,DUCHESNE RIVER                                              ,Observational,10` Parshall Flume                  ,DIGITAL     ,A,40.21589665,-111.106087,Scrape,Yes,https://waterrights.utah.gov/cgi-bin/dvrtview.exe?Modinfo=StationView&STATION_ID=501,49,1953.0,2025.0,14979,0,494,724,1281,2,5137,725,1,6816,45.50%,3.30%,75.37%
DUCHESNE            ,Duchesne River,509,070 RHOADES CANAL                                                               ,8428,Rhoades Canal                                                                                                                                                                                           ,Conveyance,2.0,509,DUCHESNE RIVER                                              ,Observational,Estimate                            ,DIGITAL     ,A,40.47764471,-110.8268015,Scrape,Yes,https://waterrights.utah.gov/cgi-bin/dvrtview.exe?Modinfo=StationView&STATION_ID=509,76,1949.0,2025.0,14828,0,2115,635,630,2,4729,635,0,7446,50.22%,14.26%,63.51%
DUCHESNE            ,Duchesne River,510,160 FARM CREEK CANAL                                                            ,8592,Farm Creek Canal                                                                                                                                                                                        ,Conveyance,3.0,510,DUCHESNE RIVER                                              ,Observational,Recorder                            ,FLOWMETER   ,A,40.40155806,-110.7632903,Scrape,Yes,https://waterrights.utah.gov/cgi-bin/dvrtview.exe?Modinfo=StationView&STATION_ID=510,77,1949.0,2025.0,14343,1,1375,645,219,0,3571,644,0,5563,38.79%,9.59%,64.19%
DUCHESNE            ,Duchesne River,512,190 JASPER PIKE CANAL                                                           ,8200,JASPER PIKE WATER FLOW 8200                                                                                                                                                                             ,Conveyance,3.0,512,DUCHESNE RIVER                                              ,Observational,Recorder                            ,DIGITAL     ,A,40.38552079,-110.7444065,Scrape,Yes,https://waterrights.utah.gov/cgi-bin/dvrtview.exe?Modinfo=StationView&STATION_ID=512,85,1935.0,2025.0,15808,0,1595,663,421,3,6696,705,0,8885,56.21%,10.09%,75.36%
DUCHESNE            ,Duchesne River,513,360 PIONEER CANAL                                                               ,8768,Pioneeer at Head                                                                                                                                                                                        ,Conveyance,4.0,513,DUCHESNE RIVER                                              ,Observational,Recorder                            ,DIGITAL     ,A,40.2839802,-110.4633858,Scrape,Yes,https://waterrights.utah.gov/cgi-bin/dvrtview.exe?Modinfo=StationView&STATION_ID=513,68,1953.0,2025.0,13256,1,1369,517,306,11,4134,551,0,6128,46.23%,10.33%,67.46%
DUCHESNE            ,Duchesne River,516,420 DUCHESNE FEEDER CANAL                                                       ,8078,DUCHESNE FEEDER CANAL                                                                                                                                                                                   ,Conveyance,1.0,516,DUCHESNE RIVER                                              ,Observational,CR-10 DATA LOGGER & AUTOMATIC GATE  ,DIGITAL     ,A,40.1713339,-110.3030198,Scrape,Yes,https://waterrights.utah.gov/cgi-bin/dvrtview.exe?Modinfo=StationView&STATION_ID=516,84,1942.0,2025.0,18012,0,1314,800,11,2,2760,831,0,5057,28.08%,7.30%,54.58%
DWCCC               ,Davis and Weber Counties Canal Company,518,DWCCC AT HEADWORKS                                                              ,Headworks ADFM Flow                     ,                                                                                                                                                                                                        ,Conveyance,1.0,518,WEBER RIVER                                                 ,Observational,                                    ,,A,41.13761059,-111.8874451,Scrape,Yes,https://waterrights.utah.gov/cgi-bin/dvrtview.exe?Modinfo=StationView&STATION_ID=518,51,1975.0,2025.0,11661,0,3823,391,2,4,2982,388,1,7267,62.32%,32.78%,41.03%
DUCHESNE            ,Duchesne River,522,423 U. S. DRY GULCH                                                             ,8718,423 U. S. DRY GULCH                                                                                                                                                                                     ,Conveyance,2.0,522,DUCHESNE RIVER                                              ,Observational,                                    ,FLOWMETER   ,A,40.17878172,-110.1645211,Scrape,Yes,https://waterrights.utah.gov/cgi-bin/dvrtview.exe?Modinfo=StationView&STATION_ID=522,66,1942.0,2023.0,14333,0,1760,593,38,2,6607,629,0,8819,61.53%,12.28%,74.92%
DUCHESNE            ,Duchesne River,525,430 GRAY MOUNTAIN CANAL                                                         ,8149,GRAY MOUNTAIN CANAL                                                                                                                                                                                     ,Conveyance,1.0,525,DUCHESNE RIVER                                              ,Observational,Real time Gauge ht. & flow          ,DIGITAL     ,A,40.16398244,-110.2762406,Scrape,Yes,https://waterrights.utah.gov/cgi-bin/dvrtview.exe?Modinfo=StationView&STATION_ID=525,87,1935.0,2025.0,17637,0,1180,815,4,0,2341,818,0,4714,26.73%,6.69%,49.66%
DUCHESNE            ,Duchesne River,526,440 UINTAH BASIN IRRIGATION COMPANY                                             ,13662,UBIC (Pleasant Valley)                                                                                                                                                                                  ,Conveyance,1.0,526,DUCHESNE RIVER                                              ,Observational,"Flow Meter in Pipe, Ultrasnc Doppler",DIGITAL     ,A,40.15040282,-110.1603658,Scrape,Yes,https://waterrights.utah.gov/cgi-bin/dvrtview.exe?Modinfo=StationView&STATION_ID=526,76,1948.0,2024.0,15885,2,1995,694,4,1,1094,684,0,4043,25.45%,12.56%,27.06%
DUCHESNE            ,Duchesne River,528,460_MYTON_TOWNSITE_CANAL                                                        ,8737,MYTON TOWNSITE CANAL                                                                                                                                                                                    ,Conveyance,4.0,528,DUCHESNE RIVER                                              ,Observational,Recorder Concrete Ramp Flume        ,DIGITAL     ,A,40.20402845,-110.1039793,Scrape,Yes,https://waterrights.utah.gov/cgi-bin/dvrtview.exe?Modinfo=StationView&STATION_ID=528,86,1935.0,2025.0,18124,0,1101,800,229,3,3329,821,0,5349,29.51%,6.07%,62.24%
DUCHESNE            ,Duchesne River,529,480 OURAY SCHOOL CANAL                                                          ,8753,OURAY SCHOOL CANAL                                                                                                                                                                                      ,Conveyance,4.0,529,DUCHESNE RIVER                                              ,Observational,Recorder                            ,DIGITAL     ,A,40.20182058,-109.9068239,Scrape,Yes,https://waterrights.utah.gov/cgi-bin/dvrtview.exe?Modinfo=StationView&STATION_ID=529,86,1935.0,2025.0,17369,0,1357,792,360,23,4216,785,0,6339,36.50%,7.81%,66.51%
USGS                ,USGS Gage,533,USGS OGDEN RIVER AT OGDEN UTAH                                                  ,10140700,"USGS Ogden River nr Gibson Avenue at Ogden, UT                                                                                                                                                          ",Stream,1.0,533,WEBER RIVER                                                 ,Observational,USGS gage station                   ,,A,41.23184153,-111.9844369,Scrape,Yes,https://waterrights.utah.gov/cgi-bin/dvrtview.exe?Modinfo=StationView&STATION_ID=533,62,1959.0,2025.0,9918,0,1237,433,444,4,753,433,28,2430,24.50%,12.47%,30.99%
USGS                ,USGS Gage,534,USGS CHALK CREEK AT COALVILLE UTAH                                              ,10131000,"Chalk Creek at Coalville, UT                                                                                                                                                                            ",Stream,1.0,534,WEBER RIVER                                                 ,Observational,RATED SECTION                       ,,A,40.92048705,-111.401312,Scrape,Yes,https://waterrights.utah.gov/cgi-bin/dvrtview.exe?Modinfo=StationView&STATION_ID=534,71,1947.0,2025.0,24072,0,2,1194,3405,7,2910,1201,90,6304,26.19%,0.01%,46.16%
USBR                ,USBR,535,USBR ECHO RESERVOIR                                                             ,ECHO|storage                            ,from ftp.usbr.gov/UC_Outgoing_Cron/ nwsdata.dat `ECHO`|`storage` at 8:30AM                                                                                                                              ,Reservoir,1.0,535,WEBER RIVER                                                 ,Observational,USBR Gage                           ,,A,40.96466437,-111.4300676,Scrape,Yes,https://waterrights.utah.gov/cgi-bin/dvrtview.exe?Modinfo=StationView&STATION_ID=535,87,1939.0,2025.0,31252,0,60,1559,0,0,2393,1547,0,4777,15.29%,0.19%,50.09%
USBR                ,USBR,536,USBR LOST CREEK RESERVOIR                                                       ,LOST CREEK|storage                      ,from ftp.usbr.gov/UC_Outgoing_Cron/ nwsdata.dat `LOST CREEK`|`storage` at 8:30AM                                                                                                                        ,Reservoir,1.0,536,WEBER RIVER                                                 ,Observational,USBR Gage                           ,,A,41.18450672,-111.4005377,Scrape,Yes,https://waterrights.utah.gov/cgi-bin/dvrtview.exe?Modinfo=StationView&STATION_ID=536,59,1967.0,2025.0,18007,0,7778,502,7993,0,824,507,0,9422,52.32%,43.19%,8.75%
USBR                ,USBR,538,USBR EAST CANYON RESERVOIR                                                      ,EAST CANYON|storage                     ,from ftp.usbr.gov/UC_Outgoing_Cron/ nwsdata.dat `EAST CANYON`|`storage` at 8:30AM                                                                                                                       ,Reservoir,1.0,538,WEBER RIVER                                                 ,Observational,USBR Gage                           ,,A,40.92095994,-111.6006427,Scrape,Yes,https://waterrights.utah.gov/cgi-bin/dvrtview.exe?Modinfo=StationView&STATION_ID=538,79,1947.0,2025.0,25948,0,13589,600,13742,0,687,618,0,15229,58.69%,52.37%,4.51%
USGS                ,USGS Gage,539,USGS EAST CANYON CREEK NEAR MORGAN UTAH                                         ,10134500,"USGS East Canyon Creek Near Morgan, UT                                                                                                                                                                  ",Stream,1.0,539,WEBER RIVER                                                 ,Observational,RATE LYMAN RECTANGULAR WEIR         ,,A,40.92257519,-111.6070997,Scrape,Yes,https://waterrights.utah.gov/cgi-bin/dvrtview.exe?Modinfo=StationView&STATION_ID=539,71,1947.0,2025.0,24072,0,1,1193,643,5,14875,1197,6,15719,65.30%,0.00%,94.63%
